F_Left,F_Right,B_Left,B_Right,BR_Left,BR_Right,Label
6,4,6,9,1,1,p0_앉지않음
778,738,626,677,481,481,p1_정자세
859,773,313,371,9,16,p2_앞으로숙이기
304,843,373,840,452,393,p3_오른다리꼬기
878,355,803,318,425,438,p4_왼다리꼬기
469,842,449,647,224,601,p5_오른쪽기대기
760,402,633,459,679,205,p6_왼쪽기대기
4,4,0,2,1,3,p0_앉지않음
717,611,666,630,472,524,p1_정자세
891,887,358,384,16,19,p2_앞으로숙이기
326,892,244,802,482,504,p3_오른다리꼬기
897,400,864,267,464,511,p4_왼다리꼬기
498,828,319,741,202,638,p5_오른쪽기대기
754,400,689,467,709,184,p6_왼쪽기대기
2,3,7,5,1,2,p0_앉지않음
704,748,614,633,484,441,p1_정자세
861,860,400,388,7,12,p2_앞으로숙이기
332,867,291,866,525,456,p3_오른다리꼬기
910,346,773,298,452,548,p4_왼다리꼬기
490,765,448,641,234,680,p5_오른쪽기대기
789,454,770,379,673,265,p6_왼쪽기대기
2,3,5,3,0,2,p0_앉지않음
646,723,604,727,468,487,p1_정자세
882,800,411,465,6,15,p2_앞으로숙이기
362,931,238,797,470,461,p3_오른다리꼬기
910,367,822,311,461,421,p4_왼다리꼬기
593,773,390,732,170,681,p5_오른쪽기대기
807,458,748,470,682,256,p6_왼쪽기대기
4,2,2,2,1,2,p0_앉지않음
713,741,650,722,489,608,p1_정자세
875,815,346,424,13,18,p2_앞으로숙이기
373,897,257,789,432,484,p3_오른다리꼬기
908,287,856,319,414,456,p4_왼다리꼬기
502,692,467,728,232,692,p5_오른쪽기대기
681,453,725,475,670,315,p6_왼쪽기대기
6,8,7,6,1,2,p0_앉지않음
661,688,625,654,592,425,p1_정자세
877,785,376,454,15,9,p2_앞으로숙이기
314,927,263,858,451,423,p3_오른다리꼬기
985,381,768,309,423,484,p4_왼다리꼬기
460,744,475,743,163,636,p5_오른쪽기대기
726,467,788,470,599,227,p6_왼쪽기대기
11,8,0,3,3,1,p0_앉지않음
722,738,603,647,370,459,p1_정자세
839,800,481,328,12,15,p2_앞으로숙이기
422,842,358,850,410,468,p3_오른다리꼬기
907,319,852,280,454,476,p4_왼다리꼬기
579,688,556,602,195,673,p5_오른쪽기대기
764,468,689,425,626,225,p6_왼쪽기대기
6,2,7,5,2,2,p0_앉지않음
658,671,687,680,499,504,p1_정자세
901,826,427,389,13,20,p2_앞으로숙이기
391,932,365,850,477,437,p3_오른다리꼬기
912,343,853,329,417,533,p4_왼다리꼬기
449,689,507,739,218,675,p5_오른쪽기대기
749,455,703,416,689,195,p6_왼쪽기대기
2,4,6,3,1,2,p0_앉지않음
712,674,626,661,442,443,p1_정자세
821,841,415,473,19,14,p2_앞으로숙이기
349,859,299,838,462,416,p3_오른다리꼬기
920,426,845,320,477,433,p4_왼다리꼬기
511,750,454,661,200,669,p5_오른쪽기대기
822,547,807,411,684,205,p6_왼쪽기대기
11,2,2,3,0,1,p0_앉지않음
662,707,667,743,538,476,p1_정자세
814,869,333,491,20,12,p2_앞으로숙이기
264,954,294,899,386,426,p3_오른다리꼬기
900,352,831,331,407,444,p4_왼다리꼬기
506,775,485,643,153,701,p5_오른쪽기대기
766,462,777,455,697,202,p6_왼쪽기대기
11,10,4,7,2,3,p0_앉지않음
651,734,702,562,452,418,p1_정자세
839,878,475,403,23,8,p2_앞으로숙이기
264,897,319,848,367,446,p3_오른다리꼬기
847,383,864,253,429,407,p4_왼다리꼬기
496,797,400,725,184,618,p5_오른쪽기대기
744,448,672,390,728,201,p6_왼쪽기대기
2,5,4,4,2,2,p0_앉지않음
673,671,636,534,439,554,p1_정자세
915,840,428,415,30,20,p2_앞으로숙이기
343,861,219,858,419,393,p3_오른다리꼬기
874,295,917,344,449,509,p4_왼다리꼬기
503,706,526,726,168,642,p5_오른쪽기대기
706,430,746,545,594,216,p6_왼쪽기대기
3,3,3,2,2,1,p0_앉지않음
713,697,638,604,476,530,p1_정자세
870,810,404,437,6,17,p2_앞으로숙이기
316,922,261,777,384,451,p3_오른다리꼬기
