frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786866472.519901,767,861,923,1102,858,854,686,873,743,445,605,651,727,538,313,564,43,399,623,525,535,139,0,0,0,892,772,334,0,0,0,0,aro,cross_leg_left,1
1,1786866472.521211,775,861,926,1107,859,851,691,871,744,457,605,651,727,538,313,565,51,403,626,520,536,140,0,0,0,889,765,344,0,0,0,0,aro,cross_leg_left,1
2,1786866472.522087,775,863,926,1109,859,855,691,875,745,459,606,651,727,539,314,565,45,403,621,523,541,140,0,0,0,891,773,351,0,0,0,0,aro,cross_leg_left,1
3,1786866472.522906,775,865,932,1111,861,855,696,873,745,461,605,652,729,539,314,565,47,403,623,529,537,141,0,0,0,890,778,370,0,0,0,0,aro,cross_leg_left,1
4,1786866472.523658,775,864,941,1113,861,853,691,873,746,459,605,652,728,539,309,567,47,404,621,523,537,139,0,0,0,887,777,391,0,0,0,0,aro,cross_leg_left,1
5,1786866472.524409,774,865,933,1113,861,855,683,873,743,455,605,651,727,535,314,568,46,405,628,523,535,132,0,0,0,879,786,395,0,0,0,0,aro,cross_leg_left,1
6,1786866472.525173,779,869,935,1123,863,855,683,872,747,444,605,653,727,537,317,567,53,415,621,521,536,111,0,0,0,887,789,405,0,0,0,0,aro,cross_leg_left,1
7,1786866472.525909,781,871,938,1123,867,853,686,873,745,425,605,654,730,537,313,569,47,395,619,523,533,108,0,0,0,885,787,405,0,0,0,0,aro,cross_leg_left,1
8,1786866472.526638,781,872,941,1123,867,856,684,871,745,413,605,653,731,539,312,569,47,406,623,521,530,105,0,0,0,885,791,395,0,0,0,0,aro,cross_leg_left,1
9,1786866472.527291,789,871,936,1124,867,855,685,873,743,405,610,654,731,538,325,569,46,407,612,520,524,105,0,0,0,903,789,405,0,0,0,0,aro,cross_leg_left,1
10,1786866472.527943,789,871,929,1125,869,851,685,871,743,399,607,659,731,541,316,570,47,407,627,520,525,104,0,0,0,895,787,405,0,0,0,0,aro,cross_leg_left,1
11,1786866472.528593,787,875,935,1125,868,855,692,871,741,395,611,659,731,539,328,570,47,408,619,520,525,105,0,0,0,926,793,407,0,0,0,0,aro,cross_leg_left,1
12,1786866472.529256,788,874,938,1125,867,856,691,871,741,383,612,657,731,539,327,570,47,409,621,522,527,107,0,0,0,941,793,413,0,0,0,0,aro,cross_leg_left,1
13,1786866472.530063,789,877,937,1125,870,850,690,871,739,376,613,659,732,539,317,569,46,409,622,521,531,119,0,0,0,955,792,423,0,0,0,0,aro,cross_leg_left,1
14,1786866472.530699,791,874,938,1125,869,855,691,871,739,376,613,659,732,540,329,569,43,422,620,521,533,136,0,0,0,957,791,407,0,0,0,0,aro,cross_leg_left,1
15,1786866472.531344,789,873,937,1119,869,853,693,869,739,380,611,659,732,541,327,569,45,409,622,522,533,139,0,0,0,957,791,407,0,0,0,0,aro,cross_leg_left,1
16,1786866472.531987,789,869,935,1118,875,853,693,871,741,392,615,655,731,541,327,568,44,408,627,523,537,139,0,0,0,959,791,395,0,0,0,0,aro,cross_leg_left,1
17,1786866472.532636,788,867,931,1115,869,855,695,871,741,397,613,657,731,541,319,567,45,405,623,524,536,136,0,0,0,952,791,396,0,0,0,0,aro,cross_leg_left,1
18,1786866472.533268,789,865,933,1113,869,855,691,871,741,397,599,658,731,541,319,565,43,403,623,523,537,139,0,0,0,936,791,384,0,0,0,0,aro,cross_leg_left,1
19,1786866472.533902,787,867,932,1112,867,859,691,867,739,393,614,657,731,539,315,565,45,399,621,523,536,140,0,0,0,951,789,380,0,0,0,0,aro,cross_leg_left,1
20,1786866472.534536,789,863,933,1113,869,853,693,869,738,379,613,658,730,539,315,563,43,394,620,524,537,141,0,0,0,949,783,375,0,0,0,0,aro,cross_leg_left,1
21,1786866472.535170,787,869,933,1114,869,859,693,869,735,376,614,659,730,539,315,563,45,395,623,524,539,139,0,0,0,967,787,362,0,0,0,0,aro,cross_leg_left,1
22,1786866472.535803,789,871,935,1115,870,854,694,869,733,375,613,657,729,538,309,563,45,395,621,525,538,140,0,0,0,951,781,339,0,0,0,0,aro,cross_leg_left,1
23,1786866472.536459,789,870,942,1115,869,853,693,870,739,378,613,654,730,539,309,563,45,395,616,527,539,141,0,0,0,941,777,325,0,0,0,0,aro,cross_leg_left,1
24,1786866472.537034,791,869,935,1115,871,855,696,871,735,375,613,655,730,536,311,559,45,397,622,525,541,141,0,0,0,947,779,331,0,0,0,0,aro,cross_leg_left,1
25,1786866472.537604,790,867,936,1112,867,857,695,869,739,383,607,652,726,536,310,557,45,396,627,523,537,143,0,0,0,967,776,327,0,0,0,0,aro,cross_leg_left,1
26,1786866472.538176,787,869,935,1115,871,856,688,871,739,390,612,651,727,537,307,558,45,397,621,523,541,146,0,0,0,946,773,328,0,0,0,0,aro,cross_leg_left,1
27,1786866472.538924,789,867,935,1113,870,855,697,869,739,396,613,652,731,537,301,557,48,395,622,525,543,147,0,0,0,943,767,319,0,0,0,0,aro,cross_leg_left,1
28,1786866472.539625,789,868,935,1115,869,857,697,871,739,403,611,653,728,536,286,557,45,394,621,523,541,150,0,0,0,941,763,318,0,0,0,0,aro,cross_leg_left,1
29,1786866472.540320,789,869,936,1114,868,854,695,871,739,405,613,652,728,538,297,557,45,393,621,529,541,156,0,0,0,941,764,303,0,0,0,0,aro,cross_leg_left,1
30,1786866472.540905,787,867,935,1115,871,856,695,871,739,403,615,650,727,536,282,555,45,393,622,527,540,159,0,0,0,940,763,313,0,0,0,0,aro,cross_leg_left,1
31,1786866472.541474,789,867,936,1115,869,857,693,871,741,403,607,651,727,536,271,553,44,391,623,527,544,167,0,0,0,941,759,313,0,0,0,0,aro,cross_leg_left,1
32,1786866472.542062,789,868,935,1115,870,857,693,873,741,397,611,652,727,537,267,553,45,392,623,529,543,168,0,0,0,943,761,312,0,0,0,0,aro,cross_leg_left,1
33,1786866472.542626,789,867,937,1117,869,855,701,871,738,395,610,649,726,535,255,553,45,391,627,530,543,171,0,0,0,942,759,311,0,0,0,0,aro,cross_leg_left,1
34,1786866472.543201,789,869,936,1115,871,857,693,871,739,394,611,653,727,535,254,552,45,391,621,529,540,172,0,0,0,941,759,313,0,0,0,0,aro,cross_leg_left,1
35,1786866472.543790,789,869,936,1115,869,857,695,871,739,389,612,651,727,535,246,553,43,393,621,530,543,174,0,0,0,941,760,300,0,0,0,0,aro,cross_leg_left,1
36,1786866472.544362,789,868,935,1116,869,855,697,873,739,383,611,651,725,535,251,553,45,393,621,529,539,174,0,0,0,941,757,297,0,0,0,0,aro,cross_leg_left,1
37,1786866472.544921,788,868,935,1115,870,856,685,871,740,390,611,651,726,536,252,551,40,392,623,529,543,175,0,0,0,941,757,300,0,0,0,0,aro,cross_leg_left,1
38,1786866472.545474,789,869,937,1115,869,857,695,872,740,389,610,651,725,535,243,551,45,393,623,531,544,179,0,0,0,942,757,317,0,0,0,0,aro,cross_leg_left,1
39,1786866472.546039,787,868,937,1114,869,856,695,873,743,389,611,651,725,533,246,549,47,392,623,525,544,181,0,0,0,942,755,313,0,0,0,0,aro,cross_leg_left,1
40,1786866472.546599,791,868,937,1115,869,856,694,871,741,389,607,651,725,534,251,549,43,393,623,531,547,181,0,0,0,941,759,311,0,0,0,0,aro,cross_leg_left,1
41,1786866472.547164,787,867,937,1112,871,857,691,869,743,391,611,648,719,533,249,549,43,389,621,527,543,181,0,0,0,943,760,304,0,0,0,0,aro,cross_leg_left,1
42,1786866472.547719,790,867,937,1116,869,857,697,872,742,391,607,651,724,543,249,553,43,392,623,529,543,181,0,0,0,943,757,303,0,0,0,0,aro,cross_leg_left,1
43,1786866472.548284,787,867,936,1116,872,855,696,871,742,393,611,651,723,535,249,550,43,393,623,532,548,183,0,0,0,943,759,303,0,0,0,0,aro,cross_leg_left,1
44,1786866472.548784,791,869,937,1115,871,857,695,871,740,395,607,652,724,534,251,551,43,393,623,530,550,184,0,0,0,941,756,299,0,0,0,0,aro,cross_leg_left,1
45,1786866472.549274,789,869,937,1116,870,857,694,873,743,397,607,649,723,535,248,551,43,393,622,531,547,186,0,0,0,941,755,297,0,0,0,0,aro,cross_leg_left,1
46,1786866472.549757,787,869,937,1117,869,857,693,873,745,401,606,649,724,534,248,551,43,393,622,531,543,187,0,0,0,941,755,299,0,0,0,0,aro,cross_leg_left,1
47,1786866472.550239,789,870,938,1117,869,857,695,871,745,402,611,651,725,533,249,551,43,392,623,531,549,187,0,0,0,941,755,299,0,0,0,0,aro,cross_leg_left,1
48,1786866472.550734,789,871,937,1118,871,856,696,872,744,399,610,651,723,535,249,549,43,393,623,531,543,189,0,0,0,941,757,303,0,0,0,0,aro,cross_leg_left,1
49,1786866472.551218,790,868,937,1119,873,857,695,873,745,399,605,651,724,535,251,549,42,393,623,531,550,188,0,0,0,943,749,303,0,0,0,0,aro,cross_leg_left,1
50,1786866472.551709,789,871,937,1119,872,857,695,872,744,395,606,651,724,535,249,551,43,393,623,529,543,189,0,0,0,947,758,301,0,0,0,0,aro,cross_leg_left,1
51,1786866472.552205,791,865,937,1117,868,857,696,871,746,391,605,649,721,531,248,549,43,393,626,529,543,187,0,0,0,949,762,303,0,0,0,0,aro,cross_leg_left,1
52,1786866472.552723,789,871,937,1119,871,857,695,871,742,381,611,650,725,533,249,547,43,393,623,531,549,184,0,0,0,950,751,309,0,0,0,0,aro,cross_leg_left,1
53,1786866472.553211,791,871,937,1121,871,856,695,871,740,377,611,651,725,535,248,547,41,393,623,531,547,184,0,0,0,951,755,304,0,0,0,0,aro,cross_leg_left,1
54,1786866472.553710,789,871,937,1119,871,857,695,869,735,373,607,652,725,536,249,547,45,393,623,531,547,186,0,0,0,951,752,311,0,0,0,0,aro,cross_leg_left,1
55,1786866472.554189,792,869,938,1123,871,856,696,871,736,365,607,649,723,535,247,546,41,393,623,531,549,185,0,0,0,951,743,309,0,0,0,0,aro,cross_leg_left,1
56,1786866472.554628,793,871,939,1122,870,855,694,869,737,361,605,651,725,535,249,543,41,393,623,531,549,185,0,0,0,952,747,304,0,0,0,0,aro,cross_leg_left,1
57,1786866472.555069,791,870,939,1124,871,857,693,869,735,357,606,651,725,534,249,543,42,393,623,532,549,186,0,0,0,951,755,303,0,0,0,0,aro,cross_leg_left,1
58,1786866472.555506,791,871,939,1125,869,856,695,868,723,351,612,651,727,535,250,543,41,393,626,531,548,187,0,0,0,952,752,307,0,0,0,0,aro,cross_leg_left,1
59,1786866472.555947,791,873,940,1123,871,855,695,867,733,348,611,652,725,534,249,543,41,393,623,531,549,185,0,0,0,952,751,303,0,0,0,0,aro,cross_leg_left,1
60,1786866472.556379,789,871,939,1125,870,856,694,867,732,349,607,651,725,535,249,544,41,392,623,533,547,184,0,0,0,953,751,309,0,0,0,0,aro,cross_leg_left,1
61,1786866472.556821,791,872,947,1126,869,855,695,863,731,344,611,639,726,531,250,543,41,391,627,538,549,175,0,0,0,953,757,307,0,0,0,0,aro,cross_leg_left,1
62,1786866472.557250,791,873,939,1127,870,857,693,868,733,347,605,651,725,536,249,543,41,391,622,531,547,187,0,0,0,955,751,307,0,0,0,0,aro,cross_leg_left,1
63,1786866472.557682,792,873,940,1127,871,857,693,867,732,343,613,653,725,537,249,543,41,391,623,531,548,187,0,0,0,953,783,309,0,0,0,0,aro,cross_leg_left,1
64,1786866472.558122,797,874,941,1127,868,855,693,867,733,341,607,651,725,536,249,543,42,391,623,532,549,188,0,0,0,956,752,307,0,0,0,0,aro,cross_leg_left,1
