frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786866415.736483,685,829,867,1049,839,760,667,809,765,717,0,0,211,354,467,504,0,329,827,681,760,700,619,460,0,0,0,0,718,998,69,0,aro,cross_leg_right,1
1,1786866415.737739,693,826,867,1052,843,761,667,805,766,717,0,0,200,351,458,503,0,331,828,681,761,697,612,456,0,0,0,0,719,999,59,0,aro,cross_leg_right,1
2,1786866415.738830,681,829,868,1059,842,760,667,799,765,719,0,0,205,354,466,502,0,331,827,686,759,697,614,463,0,0,0,0,719,999,61,0,aro,cross_leg_right,1
3,1786866415.739696,685,827,867,1053,841,760,667,809,765,718,0,0,205,351,461,503,0,331,825,679,761,700,613,461,0,0,0,0,717,997,58,0,aro,cross_leg_right,1
4,1786866415.740552,685,828,867,1053,827,761,667,803,765,719,0,0,207,354,461,503,0,331,828,681,760,698,611,463,0,0,0,0,718,1000,63,0,aro,cross_leg_right,1
5,1786866415.741313,684,827,868,1055,841,761,667,806,765,719,0,0,211,354,462,505,0,331,829,691,761,698,623,470,0,0,0,0,718,999,56,0,aro,cross_leg_right,1
6,1786866415.742043,685,826,867,1053,842,762,667,805,765,719,0,0,212,355,463,502,0,332,827,684,760,697,619,459,0,0,0,0,718,999,61,0,aro,cross_leg_right,1
7,1786866415.742766,685,827,867,1053,843,762,667,807,765,717,0,0,217,355,461,501,0,331,828,681,760,696,611,462,0,0,0,0,719,998,79,0,aro,cross_leg_right,1
8,1786866415.743490,685,827,867,1055,843,761,667,806,765,717,0,0,218,355,463,501,0,331,827,681,761,695,611,461,0,0,0,0,717,998,51,0,aro,cross_leg_right,1
9,1786866415.744225,685,827,867,1055,840,760,667,807,764,717,0,0,223,356,463,504,0,330,827,687,759,697,607,461,0,0,0,0,717,999,51,0,aro,cross_leg_right,1
10,1786866415.744945,685,828,867,1053,844,762,667,807,765,717,0,0,223,355,463,502,0,329,827,681,761,696,609,461,0,0,0,0,718,997,51,0,aro,cross_leg_right,1
11,1786866415.745581,685,827,867,1053,841,761,665,805,765,716,0,0,229,355,472,499,0,328,827,679,760,697,611,459,0,0,0,0,717,997,55,0,aro,cross_leg_right,1
12,1786866415.746210,681,829,867,1052,840,761,666,805,765,717,0,0,227,357,467,496,0,327,829,677,761,696,611,461,0,0,0,0,717,996,45,0,aro,cross_leg_right,1
13,1786866415.746845,686,828,869,1052,839,761,667,805,765,716,0,0,232,357,462,500,0,328,823,683,758,695,605,457,0,0,0,0,716,996,43,0,aro,cross_leg_right,1
14,1786866415.747478,685,827,865,1050,843,760,667,807,765,715,0,0,230,356,461,493,0,318,841,678,761,695,613,459,0,0,0,0,717,997,46,0,aro,cross_leg_right,1
