frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786866263.263907,0,489,668,717,630,377,201,339,0,0,631,639,671,613,499,703,313,570,633,583,635,603,523,135,21,1045,269,0,413,1033,397,0,aro,lean_forward,1
1,1786866263.265040,0,489,669,717,636,371,187,329,0,0,632,628,671,613,501,712,313,558,636,584,638,601,527,127,21,1048,269,0,419,1022,397,0,aro,lean_forward,1
2,1786866263.266033,0,486,669,716,626,363,175,315,0,0,631,635,669,614,500,709,313,557,632,583,637,599,521,133,20,1044,266,0,423,1023,404,0,aro,lean_forward,1
3,1786866263.266954,0,489,671,719,627,361,173,307,0,0,632,638,671,613,501,711,311,559,633,583,638,600,523,127,21,1063,263,0,425,1047,409,0,aro,lean_forward,1
4,1786866263.267679,0,487,669,717,627,355,174,300,0,0,633,639,674,613,499,703,319,558,623,584,633,601,523,125,20,1043,264,0,425,1031,413,0,aro,lean_forward,1
5,1786866263.268405,0,488,668,718,627,351,170,295,0,0,633,639,675,613,503,709,313,563,631,585,635,600,521,124,22,1041,255,0,427,1033,414,0,aro,lean_forward,1
6,1786866263.269130,0,488,669,717,623,339,168,291,0,0,633,639,675,615,499,712,310,557,632,583,637,601,504,123,20,1039,253,0,431,1033,421,0,aro,lean_forward,1
7,1786866263.269860,0,487,669,717,627,333,169,285,0,0,632,647,671,615,501,711,313,557,632,583,646,597,521,119,20,1039,250,0,431,1032,423,0,aro,lean_forward,1
8,1786866263.270582,0,488,670,719,623,333,166,280,0,0,655,635,675,614,501,713,316,555,631,581,635,599,521,121,21,1039,246,0,436,1034,425,0,aro,lean_forward,1
9,1786866263.271252,0,489,669,713,627,331,167,279,0,0,633,638,676,615,503,710,313,563,628,581,635,611,520,116,0,1041,243,0,441,1033,425,0,aro,lean_forward,1
