frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786866822.724586,0,0,85,357,381,280,489,729,808,730,0,0,107,339,379,430,362,77,429,524,627,575,552,536,0,0,281,503,0,0,312,0,aro,lean_left,1
1,1786866822.725485,0,0,85,357,381,283,491,726,809,730,0,0,103,340,376,431,363,76,427,533,624,573,549,541,0,0,281,505,0,0,309,0,aro,lean_left,1
2,1786866822.726294,0,0,85,355,382,283,489,726,809,731,0,0,107,347,379,431,365,77,428,531,625,573,559,539,0,0,283,491,0,0,316,0,aro,lean_left,1
3,1786866822.727018,0,0,84,357,384,281,489,727,809,731,0,0,101,351,377,431,365,77,430,531,627,572,553,533,0,0,285,495,0,0,317,0,aro,lean_left,1
4,1786866822.727743,0,0,83,356,381,283,488,729,810,732,0,0,93,339,377,437,355,78,429,531,626,573,553,535,0,0,288,493,0,0,319,0,aro,lean_left,1
5,1786866822.728475,0,0,81,355,383,281,489,727,810,731,0,0,92,339,378,437,365,77,427,531,627,572,556,539,0,0,287,495,0,0,319,0,aro,lean_left,1
6,1786866822.729215,0,0,79,349,382,281,489,730,811,732,0,0,91,339,378,431,364,77,429,531,625,573,553,551,0,0,292,495,0,0,315,0,aro,lean_left,1
7,1786866822.729942,0,0,77,351,381,281,489,727,811,732,0,0,91,335,381,427,357,78,427,531,625,573,552,539,0,0,291,493,0,0,339,0,aro,lean_left,1
8,1786866822.730574,0,0,77,351,381,280,489,729,811,733,0,0,91,338,375,431,363,78,427,525,625,573,553,537,0,0,293,503,0,0,316,0,aro,lean_left,1
9,1786866822.731214,0,0,77,353,379,281,488,728,811,733,0,0,90,338,373,431,363,77,427,527,627,574,553,537,0,0,293,493,0,0,317,0,aro,lean_left,1
10,1786866822.731861,0,0,77,351,382,281,489,727,811,733,0,0,91,335,379,431,365,77,429,531,623,573,552,543,0,0,295,501,0,0,312,0,aro,lean_left,1
11,1786866822.732522,0,0,77,351,383,281,488,729,811,734,0,0,91,339,377,431,365,77,426,530,627,573,551,540,0,0,295,503,0,0,315,0,aro,lean_left,1
12,1786866822.733161,0,0,77,350,381,281,489,725,811,733,0,0,91,338,380,431,363,77,421,530,624,572,553,539,0,0,294,501,0,0,319,0,aro,lean_left,1
13,1786866822.733795,0,0,79,351,381,283,488,731,811,734,0,0,91,335,378,438,363,77,429,529,627,573,552,537,0,0,295,505,0,0,314,0,aro,lean_left,1
14,1786866822.734429,0,0,78,351,379,281,487,739,811,733,0,0,91,338,379,435,361,77,425,531,623,572,552,541,0,0,295,503,0,0,310,0,aro,lean_left,1
15,1786866822.735059,0,0,79,349,381,279,487,727,811,733,0,0,91,338,377,431,369,78,427,530,622,573,544,539,0,0,295,503,0,0,308,0,aro,lean_left,1
16,1786866822.735700,0,0,79,351,381,281,487,728,811,733,0,0,93,337,376,431,365,81,431,531,623,573,550,539,0,0,295,500,0,0,319,0,aro,lean_left,1
17,1786866822.736340,0,0,79,350,381,281,487,728,812,734,0,0,92,338,377,429,372,77,427,529,626,573,552,541,0,0,295,505,0,0,303,0,aro,lean_left,1
18,1786866822.737000,0,0,82,349,382,281,487,727,813,735,0,0,93,340,380,437,363,77,427,527,623,573,553,540,0,0,297,509,0,0,302,0,aro,lean_left,1
19,1786866822.737632,0,0,81,349,381,281,487,729,813,737,0,0,91,338,380,437,366,78,427,529,623,571,552,529,0,0,297,509,0,0,296,0,aro,lean_left,1
20,1786866822.738263,0,0,79,348,382,281,487,727,812,735,0,0,93,339,377,431,363,77,423,530,622,571,552,536,0,0,299,507,0,0,278,0,aro,lean_left,1
21,1786866822.738896,0,0,77,348,381,281,489,727,813,735,0,0,91,339,379,431,363,78,425,527,623,573,549,536,0,0,301,507,0,0,277,0,aro,lean_left,1
22,1786866822.739532,0,0,77,347,381,281,487,730,812,739,0,0,93,336,379,423,366,77,423,527,623,572,551,541,0,0,300,509,0,0,261,0,aro,lean_left,1
23,1786866822.740122,0,0,76,348,380,281,487,729,813,740,0,0,91,339,377,431,363,77,427,527,620,571,551,541,0,0,301,505,0,0,228,0,aro,lean_left,1
24,1786866822.740697,0,0,77,348,381,283,487,729,814,739,0,0,92,340,378,439,369,92,422,525,621,569,547,539,0,0,303,504,0,0,222,0,aro,lean_left,1
25,1786866822.741285,0,0,75,348,381,284,487,731,814,741,0,0,91,339,373,427,367,79,423,525,621,571,551,539,0,0,303,519,0,0,220,0,aro,lean_left,1
26,1786866822.742159,0,0,75,348,379,291,487,731,814,741,0,0,93,341,379,427,365,77,421,525,622,572,552,538,0,0,307,505,0,0,221,0,aro,lean_left,1
27,1786866822.742895,0,0,75,347,380,296,487,737,815,741,0,0,93,340,379,430,365,81,421,525,621,571,551,540,0,0,310,508,0,0,204,0,aro,lean_left,1
28,1786866822.743586,0,0,75,349,381,297,487,729,815,740,0,0,92,341,365,431,363,78,420,526,619,571,552,535,0,0,309,520,0,0,205,0,aro,lean_left,1
29,1786866822.744176,0,0,74,347,381,299,487,732,815,743,0,0,91,341,381,431,367,77,426,525,621,571,553,539,0,0,309,506,0,0,185,0,aro,lean_left,1
30,1786866822.744748,0,0,73,346,381,301,488,729,815,744,0,0,91,343,375,435,365,79,419,525,621,571,551,537,0,0,311,507,0,0,188,0,aro,lean_left,1
31,1786866822.745328,0,0,73,345,381,303,487,731,815,744,0,0,91,342,380,435,365,78,421,524,621,570,552,535,0,0,313,504,0,0,175,0,aro,lean_left,1
32,1786866822.745911,0,0,71,345,381,304,487,731,815,745,0,0,91,341,379,434,367,78,421,524,623,582,552,539,0,0,313,517,0,0,179,0,aro,lean_left,1
33,1786866822.746485,0,0,71,344,381,307,487,732,815,745,0,0,91,343,379,434,366,79,421,525,621,571,552,539,0,0,312,523,0,0,171,0,aro,lean_left,1
