frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786866621.020736,647,718,633,883,797,779,511,627,440,0,549,597,675,493,501,485,0,412,456,436,457,395,213,0,123,997,719,0,0,29,0,0,aro,lean_right,2
1,1786866621.021851,647,718,632,883,798,780,517,627,441,0,547,597,676,493,504,483,0,413,457,437,459,395,215,0,121,995,717,0,0,29,0,0,aro,lean_right,2
2,1786866621.022839,635,717,635,879,799,781,521,627,441,0,550,596,676,491,503,487,0,414,459,437,461,397,217,0,121,1002,731,0,0,26,0,0,aro,lean_right,2
3,1786866621.023700,634,718,647,883,799,787,519,629,443,0,547,594,675,489,501,487,0,419,459,438,461,401,219,0,124,995,715,0,0,29,0,0,aro,lean_right,2
4,1786866621.024534,633,717,633,879,800,785,521,629,445,0,549,599,675,484,498,485,0,423,459,439,462,403,221,0,122,997,704,0,0,25,0,0,aro,lean_right,2
5,1786866621.025284,631,717,629,882,799,783,519,629,445,0,549,599,672,473,499,484,0,423,459,437,465,403,221,0,126,980,714,0,0,29,0,0,aro,lean_right,2
6,1786866621.026023,631,717,631,882,800,788,520,629,447,0,548,596,672,458,494,487,0,424,460,439,466,405,222,0,125,1001,717,0,0,27,0,0,aro,lean_right,2
7,1786866621.026762,629,717,634,880,803,788,520,631,447,0,535,595,671,441,493,485,0,423,462,441,469,406,223,0,126,995,696,0,0,26,0,0,aro,lean_right,2
8,1786866621.027506,629,717,637,879,798,791,521,631,447,0,548,595,669,411,485,483,0,425,463,441,468,407,227,0,126,988,701,0,0,29,0,0,aro,lean_right,2
9,1786866621.028357,629,716,631,879,803,792,521,631,455,0,546,597,670,391,487,477,0,425,462,440,469,407,227,0,125,987,703,0,0,27,0,0,aro,lean_right,2
10,1786866621.029060,628,715,629,880,804,790,518,631,456,0,547,594,669,391,479,485,0,426,465,441,469,408,228,0,135,999,686,0,0,31,0,0,aro,lean_right,2
11,1786866621.029707,627,715,624,882,804,789,521,633,453,0,532,597,667,384,483,479,0,425,467,441,471,409,229,0,135,995,687,0,0,31,0,0,aro,lean_right,2
12,1786866621.030354,628,716,632,884,805,793,529,633,459,0,549,596,665,383,475,477,0,426,467,441,471,408,229,0,110,999,695,0,0,31,0,0,aro,lean_right,2
13,1786866621.031010,627,717,632,883,805,795,522,633,459,0,551,598,666,383,475,483,0,427,467,441,471,412,231,0,135,989,682,0,0,35,0,0,aro,lean_right,2
14,1786866621.031656,623,715,633,879,803,795,524,635,453,0,551,595,665,381,467,483,0,428,467,441,471,412,229,0,135,983,691,0,0,30,0,0,aro,lean_right,2
15,1786866621.032290,623,715,633,883,805,793,523,635,460,0,531,595,664,383,469,479,0,427,468,444,473,413,229,0,138,993,681,0,0,31,0,0,aro,lean_right,2
16,1786866621.032923,625,715,633,884,808,788,523,635,461,0,553,594,663,379,458,476,0,428,468,441,473,413,230,0,137,994,682,0,0,31,0,0,aro,lean_right,2
17,1786866621.033562,626,715,633,883,804,792,523,635,461,0,551,593,663,378,445,485,0,428,469,441,474,413,230,0,151,993,682,0,0,31,0,0,aro,lean_right,2
18,1786866621.034196,627,715,633,884,805,795,524,634,461,0,548,599,662,379,459,478,0,431,467,444,474,415,231,0,137,995,681,0,0,35,0,0,aro,lean_right,2
19,1786866621.034855,627,715,633,884,806,793,509,635,461,0,552,597,662,380,469,472,0,437,467,443,472,415,231,0,137,995,681,0,0,33,0,0,aro,lean_right,2
20,1786866621.035491,624,715,632,884,807,795,527,635,461,0,551,596,661,379,456,477,0,429,469,443,475,415,231,0,141,990,682,0,0,33,0,0,aro,lean_right,2
21,1786866621.036136,627,715,633,884,805,795,523,633,461,0,549,597,661,377,456,475,0,429,468,443,473,415,230,0,141,994,680,0,0,31,0,0,aro,lean_right,2
22,1786866621.036708,627,715,633,884,805,793,523,635,461,0,551,597,661,380,447,473,0,429,467,442,473,411,230,0,137,994,684,0,0,31,0,0,aro,lean_right,2
23,1786866621.037281,627,715,633,883,805,796,522,636,461,0,553,597,663,379,455,461,0,430,467,442,473,415,233,0,148,995,678,0,0,33,0,0,aro,lean_right,2
24,1786866621.037853,623,715,631,883,805,795,523,635,461,0,552,595,663,375,455,476,0,429,468,441,473,415,231,0,147,995,683,0,0,31,0,0,aro,lean_right,2
25,1786866621.038578,622,715,633,884,805,796,532,635,461,0,552,597,664,377,473,479,0,430,467,441,472,419,231,0,141,997,685,0,0,31,0,0,aro,lean_right,2
26,1786866621.039286,623,715,631,883,808,795,531,635,462,0,531,597,663,380,453,476,0,429,466,443,474,416,231,0,141,997,683,0,0,36,0,0,aro,lean_right,2
27,1786866621.039978,623,714,633,883,805,799,527,636,462,0,553,600,665,380,442,475,0,429,467,442,473,416,230,0,147,997,685,0,0,35,0,0,aro,lean_right,2
28,1786866621.040567,620,715,633,883,809,796,525,635,463,0,548,595,664,379,457,476,0,431,467,443,473,419,227,0,149,997,691,0,0,35,0,0,aro,lean_right,2
29,1786866621.041130,623,713,632,885,808,797,525,637,461,0,555,599,663,378,459,477,0,428,467,442,472,417,229,0,147,996,691,0,0,35,0,0,aro,lean_right,2
30,1786866621.041704,623,715,633,885,807,795,525,635,465,0,552,597,665,379,459,477,0,429,466,444,472,413,231,0,155,997,686,0,0,30,0,0,aro,lean_right,2
31,1786866621.042295,621,715,633,885,807,797,525,633,463,0,555,601,665,378,458,477,0,429,467,444,473,415,227,0,153,997,691,0,0,31,0,0,aro,lean_right,2
32,1786866621.042862,621,715,633,885,811,796,525,635,463,0,558,600,665,379,461,477,0,429,466,443,472,415,223,0,159,999,697,0,0,37,0,0,aro,lean_right,2
33,1786866621.043428,619,715,633,885,809,797,523,635,461,0,555,599,667,377,461,479,0,425,463,443,469,415,221,0,163,999,695,0,0,34,0,0,aro,lean_right,2
34,1786866621.043999,621,724,635,886,811,797,523,635,463,0,559,601,671,377,467,482,0,423,463,441,468,411,218,0,189,1001,695,0,0,43,0,0,aro,lean_right,2
35,1786866621.044570,623,715,634,887,814,799,523,633,461,0,563,604,669,379,471,485,0,423,461,440,467,409,215,0,205,1003,697,0,0,31,0,0,aro,lean_right,2
36,1786866621.045143,623,721,635,888,814,803,523,635,461,0,569,607,669,379,477,489,0,420,461,442,463,408,213,0,211,1004,709,0,0,33,0,0,aro,lean_right,2
37,1786866621.045705,633,717,637,889,818,803,525,634,461,0,570,607,674,381,485,491,0,413,460,443,465,407,207,0,218,1005,703,0,0,29,0,0,aro,lean_right,2
38,1786866621.046269,636,719,645,893,821,805,525,635,461,0,575,613,677,383,489,498,0,413,461,441,463,403,202,0,229,1007,712,0,0,31,0,0,aro,lean_right,2
39,1786866621.046838,649,723,645,895,826,804,524,635,460,0,585,619,680,381,493,504,0,409,460,440,459,401,190,0,231,1015,712,0,0,30,0,0,aro,lean_right,2
40,1786866621.047394,653,725,647,903,827,799,524,631,455,0,585,621,681,391,489,488,0,408,458,439,459,393,178,0,243,1015,717,0,0,29,0,0,aro,lean_right,2
41,1786866621.047961,659,725,651,904,828,799,521,631,447,0,587,619,685,391,503,509,0,407,458,442,455,395,165,0,261,1018,719,0,0,22,0,0,aro,lean_right,2
42,1786866621.048466,661,729,653,907,839,796,521,623,438,0,589,629,687,405,507,519,0,407,454,435,453,366,149,0,249,1021,727,0,0,25,0,0,aro,lean_right,2
43,1786866621.048970,668,727,657,909,837,790,516,619,425,0,589,629,687,431,507,519,0,403,451,431,446,357,139,0,263,1021,740,0,0,0,0,0,aro,lean_right,2
44,1786866621.049460,671,729,658,909,837,783,507,611,413,0,599,631,692,447,510,521,0,402,445,427,441,341,125,0,265,1031,724,0,0,0,0,0,aro,lean_right,2
