frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786866196.348969,619,717,711,871,743,669,549,765,681,583,619,613,652,589,445,671,227,552,657,599,661,628,521,453,167,987,315,0,601,1031,553,0,aro,sitting_straight,1
1,1786866196.349852,619,717,711,871,741,668,541,763,681,585,619,613,651,589,444,671,217,552,655,599,671,627,530,447,169,987,309,0,601,1031,551,0,aro,sitting_straight,1
2,1786866196.350671,619,716,710,871,743,667,543,765,680,585,619,615,651,589,443,671,232,553,658,601,658,627,529,447,171,986,313,0,603,1023,551,0,aro,sitting_straight,1
3,1786866196.351402,619,717,710,871,743,667,551,765,680,584,618,613,653,587,443,671,234,553,657,595,658,627,530,453,173,985,315,0,601,1029,553,0,aro,sitting_straight,1
4,1786866196.352129,618,717,711,871,743,667,547,765,681,583,617,615,651,589,446,671,232,553,655,589,659,627,531,445,169,985,313,0,602,1032,553,0,aro,sitting_straight,1
5,1786866196.352849,617,715,710,871,744,669,543,763,679,583,617,613,653,588,445,671,233,549,659,602,653,629,529,446,169,983,312,0,600,1023,553,0,aro,sitting_straight,1
6,1786866196.353573,619,719,709,872,743,672,541,765,677,585,618,613,653,591,443,671,238,555,658,597,661,627,529,445,169,988,315,0,603,1030,551,0,aro,sitting_straight,1
7,1786866196.354289,619,717,711,872,742,667,535,765,684,585,619,614,653,586,447,671,237,553,657,597,659,626,530,447,172,984,313,0,603,1030,551,0,aro,sitting_straight,1
8,1786866196.354937,621,717,711,873,743,669,543,764,679,583,619,615,652,589,455,669,240,554,658,613,659,627,531,446,169,984,315,0,603,1031,552,0,aro,sitting_straight,1
9,1786866196.355565,621,723,711,873,745,669,549,765,684,584,617,615,651,587,443,671,244,553,657,601,655,628,530,447,170,999,313,0,601,1031,553,0,aro,sitting_straight,1
10,1786866196.356235,620,725,711,873,743,663,543,764,680,585,618,615,653,589,435,675,247,553,659,589,660,627,529,445,169,985,314,0,599,1031,555,0,aro,sitting_straight,1
11,1786866196.356893,619,723,711,873,743,669,550,763,681,584,618,613,652,591,445,669,260,553,655,600,651,629,529,446,171,983,312,0,599,1023,551,0,aro,sitting_straight,1
12,1786866196.357525,621,725,712,872,745,661,549,765,685,585,619,615,651,586,444,676,252,555,659,599,655,628,531,447,169,985,311,0,598,1022,555,0,aro,sitting_straight,1
13,1786866196.358152,619,725,703,871,743,668,549,765,677,584,618,615,652,589,452,675,261,552,657,605,661,627,529,446,168,983,311,0,597,1022,551,0,aro,sitting_straight,1
14,1786866196.358780,621,725,711,874,744,671,549,764,684,584,617,615,653,589,447,672,261,553,659,601,663,628,529,446,171,989,315,0,599,1022,552,0,aro,sitting_straight,1
