frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786867292.770912,0,315,478,639,699,563,483,588,425,0,122,598,703,788,719,803,676,420,553,455,505,435,67,0,0,693,1107,1087,0,0,0,0,dahye,cross_leg_left,1
1,1786867292.772163,0,314,475,637,700,563,484,587,427,0,119,599,701,794,717,794,675,421,553,455,505,435,69,0,0,683,1075,1086,0,0,0,0,dahye,cross_leg_left,1
2,1786867292.773034,0,316,479,637,701,563,484,587,428,0,120,599,701,785,716,799,675,423,555,455,505,435,69,0,0,683,1077,1087,0,0,0,0,dahye,cross_leg_left,1
3,1786867292.773855,0,314,479,637,700,563,486,587,429,0,116,595,699,792,717,805,675,423,553,455,505,435,70,0,0,681,1077,1093,0,0,0,0,dahye,cross_leg_left,1
4,1786867292.774594,0,315,477,637,700,563,485,589,430,0,116,599,699,783,718,805,675,424,555,456,507,437,83,0,0,679,1093,1092,0,0,0,0,dahye,cross_leg_left,1
5,1786867292.775325,0,317,479,639,700,565,485,589,431,0,119,597,700,783,717,813,677,424,556,458,505,440,84,0,0,671,1071,1093,0,0,0,0,dahye,cross_leg_left,1
6,1786867292.776089,0,318,483,646,702,565,485,590,430,0,118,595,701,786,718,811,675,427,555,456,507,439,85,0,0,676,1053,1093,0,0,0,0,dahye,cross_leg_left,1
7,1786867292.776947,0,318,483,648,701,566,487,589,429,0,119,598,698,789,719,805,675,427,555,458,509,435,87,0,0,671,1075,1085,0,0,0,0,dahye,cross_leg_left,1
8,1786867292.777675,0,327,483,649,702,567,487,588,428,0,121,599,701,786,719,805,675,427,554,458,506,441,87,0,0,665,1071,1093,0,0,0,0,dahye,cross_leg_left,1
9,1786867292.778313,0,328,483,651,702,567,487,588,426,0,118,601,701,787,717,805,675,427,556,457,505,439,85,0,0,663,1067,1087,0,0,0,0,dahye,cross_leg_left,1
10,1786867292.778935,0,330,484,651,702,565,485,585,424,0,124,598,701,792,719,805,675,427,555,457,507,437,76,0,0,663,1068,1086,0,0,0,0,dahye,cross_leg_left,1
11,1786867292.779559,0,333,485,655,710,565,483,585,421,0,121,598,701,793,719,803,674,427,557,457,507,440,73,0,0,663,1061,1093,0,0,0,0,dahye,cross_leg_left,1
12,1786867292.780183,0,335,485,653,709,565,484,585,415,0,119,599,701,792,719,804,671,427,555,457,505,439,73,0,0,659,1061,1093,0,0,0,0,dahye,cross_leg_left,1
13,1786867292.780806,0,339,485,659,703,565,485,584,415,0,119,601,699,791,717,807,675,428,553,457,509,439,77,0,0,663,1071,1093,0,0,0,0,dahye,cross_leg_left,1
14,1786867292.781430,0,339,485,659,711,565,485,584,413,0,123,599,701,795,719,805,671,427,555,457,508,439,84,0,0,665,1079,1092,0,0,0,0,dahye,cross_leg_left,1
15,1786867292.782054,0,339,486,659,710,567,485,585,412,0,116,603,701,794,719,805,672,429,555,457,505,441,87,0,0,664,1077,1093,0,0,0,0,dahye,cross_leg_left,1
16,1786867292.782682,0,339,486,659,704,566,485,583,410,0,127,601,699,787,719,807,674,430,558,459,507,431,88,0,0,663,1077,1093,0,0,0,0,dahye,cross_leg_left,1
17,1786867292.783333,0,339,485,658,709,565,483,583,409,0,125,603,702,785,721,805,675,429,555,459,509,431,90,0,0,667,1071,1092,0,0,0,0,dahye,cross_leg_left,1
18,1786867292.783959,0,339,485,654,703,565,483,582,409,0,123,602,701,795,719,806,671,428,557,459,508,442,93,0,0,663,1075,1091,0,0,0,0,dahye,cross_leg_left,1
19,1786867292.784583,0,332,485,653,703,559,483,579,405,0,123,601,701,780,721,806,675,429,555,457,507,443,99,0,0,663,1077,1094,0,0,0,0,dahye,cross_leg_left,1
20,1786867292.785205,0,333,486,649,701,565,482,580,404,0,123,605,695,793,719,805,671,428,558,459,508,440,93,0,0,665,1075,1093,0,0,0,0,dahye,cross_leg_left,1
21,1786867292.785829,0,333,485,650,701,565,479,581,398,0,123,603,703,781,719,805,671,429,559,459,509,443,95,0,0,663,1079,1087,0,0,0,0,dahye,cross_leg_left,1
22,1786867292.786449,0,332,485,649,701,565,484,581,401,0,136,605,701,776,719,805,671,430,559,459,509,443,96,0,0,665,1071,1095,0,0,0,0,dahye,cross_leg_left,1
23,1786867292.787072,0,332,485,651,700,564,483,581,398,0,103,601,701,808,719,805,671,429,558,457,517,441,100,0,0,667,1078,1093,0,0,0,0,dahye,cross_leg_left,1
24,1786867292.787684,0,330,485,649,701,565,483,581,399,0,121,601,701,795,719,805,671,431,557,458,507,443,99,0,0,663,1080,1096,0,0,0,0,dahye,cross_leg_left,1
25,1786867292.788244,0,331,485,649,701,565,485,582,403,0,124,601,701,793,717,807,672,431,559,459,509,443,100,0,0,665,1077,1095,0,0,0,0,dahye,cross_leg_left,1
26,1786867292.788798,0,329,485,649,702,566,485,585,405,0,115,601,701,789,718,807,671,431,561,457,519,457,100,0,0,667,1070,1093,0,0,0,0,dahye,cross_leg_left,1
27,1786867292.789353,0,331,487,651,701,563,483,583,405,0,123,601,701,793,719,805,671,431,559,460,520,444,101,0,0,653,1080,1093,0,0,0,0,dahye,cross_leg_left,1
28,1786867292.790141,0,331,485,651,701,564,484,582,407,0,123,603,700,791,719,805,670,436,565,461,516,445,100,0,0,693,1077,1093,0,0,0,0,dahye,cross_leg_left,1
29,1786867292.790879,0,325,485,651,700,563,483,583,406,0,125,603,701,791,719,805,671,431,563,458,507,441,101,0,0,679,1076,1088,0,0,0,0,dahye,cross_leg_left,1
30,1786867292.791525,0,329,485,652,701,567,484,583,409,0,127,603,703,792,718,805,671,431,560,461,509,445,104,0,0,651,1079,1093,0,0,0,0,dahye,cross_leg_left,1
31,1786867292.792097,0,329,487,647,701,567,485,584,407,0,137,603,701,765,717,803,671,431,563,461,504,444,105,0,0,664,1074,1093,0,0,0,0,dahye,cross_leg_left,1
32,1786867292.792713,0,318,485,648,699,563,479,584,409,0,126,601,702,792,717,805,670,431,559,459,509,444,105,0,0,659,1071,1093,0,0,0,0,dahye,cross_leg_left,1
33,1786867292.793280,0,331,485,647,697,565,487,585,413,0,123,602,701,791,719,804,671,432,565,462,519,459,111,0,0,661,1075,1095,0,0,0,0,dahye,cross_leg_left,1
34,1786867292.793860,0,331,485,647,697,565,487,587,415,0,112,602,702,779,717,805,669,435,564,467,519,453,118,0,0,653,1075,1087,0,0,0,0,dahye,cross_leg_left,1
35,1786867292.794421,0,329,487,647,696,567,483,587,420,0,125,599,701,789,711,805,669,429,564,471,521,451,123,0,0,653,1071,1087,0,0,0,0,dahye,cross_leg_left,1
36,1786867292.794996,0,329,485,638,693,567,488,588,421,0,126,603,701,783,717,798,669,436,566,461,519,453,120,0,0,649,1067,1085,0,0,0,0,dahye,cross_leg_left,1
37,1786867292.795563,0,329,487,647,695,567,487,589,423,0,125,600,699,783,715,803,667,437,565,443,521,445,135,0,0,627,1061,1080,0,0,0,0,dahye,cross_leg_left,1
38,1786867292.796129,0,320,485,647,694,571,487,593,425,0,117,598,698,781,717,799,668,436,565,458,521,455,137,0,0,621,1049,1077,0,0,0,0,dahye,cross_leg_left,1
39,1786867292.796687,0,327,485,639,692,571,489,595,427,0,117,601,698,781,716,802,668,437,564,465,525,456,140,0,0,598,1048,1071,0,0,0,0,dahye,cross_leg_left,1
40,1786867292.797249,0,326,485,645,695,567,489,595,428,0,117,597,697,782,716,803,669,436,567,463,523,458,143,0,0,595,1039,1071,0,0,0,0,dahye,cross_leg_left,1
41,1786867292.797822,0,327,483,645,697,567,491,595,429,0,123,600,697,785,715,800,666,437,566,461,525,458,147,0,0,575,1039,1069,0,0,0,0,dahye,cross_leg_left,1
42,1786867292.798387,0,327,483,645,699,567,489,595,431,0,118,605,701,785,715,804,669,441,568,468,524,456,147,0,0,589,1045,1071,0,0,0,0,dahye,cross_leg_left,1
43,1786867292.798959,0,329,487,649,699,568,491,594,431,0,123,589,701,783,715,804,669,427,567,469,527,455,151,0,0,597,1031,1075,0,0,0,0,dahye,cross_leg_left,1
44,1786867292.799496,0,331,493,649,702,570,491,595,431,0,119,599,697,785,717,804,669,439,568,467,529,458,149,0,0,584,1039,1075,0,0,0,0,dahye,cross_leg_left,1
45,1786867292.799998,0,331,484,651,702,568,487,591,429,0,121,585,700,782,717,804,668,439,569,463,521,446,149,0,0,575,1045,1079,0,0,0,0,dahye,cross_leg_left,1
46,1786867292.800489,0,335,487,653,701,571,489,591,428,0,118,597,704,783,717,803,669,438,567,465,525,459,143,0,0,583,1015,1077,0,0,0,0,dahye,cross_leg_left,1
47,1786867292.800978,0,343,487,652,703,568,488,587,422,0,121,594,700,786,717,803,668,441,568,463,523,460,147,0,0,571,1017,1078,0,0,0,0,dahye,cross_leg_left,1
48,1786867292.801483,0,335,487,651,710,569,487,585,415,0,124,588,700,787,717,805,669,440,567,467,529,457,149,0,0,555,1017,1076,0,0,0,0,dahye,cross_leg_left,1
49,1786867292.801968,0,343,487,652,709,574,489,586,415,0,125,599,699,789,719,805,669,437,566,467,531,457,134,0,0,547,1007,1078,0,0,0,0,dahye,cross_leg_left,1
50,1786867292.802465,0,347,488,639,711,568,491,587,413,0,123,601,703,791,721,807,669,439,569,469,531,457,154,0,0,531,1011,1059,0,0,0,0,dahye,cross_leg_left,1
51,1786867292.803013,0,351,492,661,712,569,491,589,415,0,125,602,701,791,719,807,671,431,571,467,531,465,157,0,0,487,1007,1071,0,0,0,0,dahye,cross_leg_left,1
52,1786867292.803538,0,355,493,667,711,567,493,593,423,0,118,603,697,792,722,807,670,443,571,468,531,463,158,0,0,424,983,1070,0,0,0,0,dahye,cross_leg_left,1
53,1786867292.804035,0,357,495,671,716,571,495,597,427,0,111,601,699,789,724,810,671,441,573,471,531,462,167,0,0,373,971,1053,0,0,0,0,dahye,cross_leg_left,1
54,1786867292.804543,0,364,499,669,715,575,501,597,429,0,99,599,695,782,726,809,672,443,573,471,530,471,167,0,0,349,953,1069,0,0,0,0,dahye,cross_leg_left,1
55,1786867292.805042,0,371,499,669,717,579,503,599,435,0,77,597,693,779,723,809,671,441,571,469,537,467,168,0,0,327,927,1048,0,0,0,0,dahye,cross_leg_left,1
56,1786867292.805502,0,371,501,679,719,584,503,600,431,0,45,595,683,775,725,811,672,441,579,471,540,475,167,0,0,300,895,1059,0,0,0,0,dahye,cross_leg_left,1
57,1786867292.805954,0,373,503,675,723,585,504,601,437,0,49,588,687,773,724,812,669,441,573,471,537,468,169,0,0,281,876,1045,0,0,0,0,dahye,cross_leg_left,1
58,1786867292.806394,0,379,501,676,723,589,505,603,443,0,45,585,685,767,723,811,669,443,582,474,539,471,171,0,0,263,862,1060,0,0,0,0,dahye,cross_leg_left,1
59,1786867292.806868,0,403,504,681,723,589,505,605,441,0,43,584,692,765,723,811,667,443,581,473,541,476,174,0,0,279,859,1063,0,0,0,0,dahye,cross_leg_left,1
60,1786867292.807308,0,411,505,679,724,601,507,607,447,0,57,587,683,767,725,811,667,444,581,477,541,473,174,0,0,287,863,1067,0,0,0,0,dahye,cross_leg_left,1
61,1786867292.807741,0,421,505,700,725,589,508,611,448,0,69,588,685,773,725,811,667,443,581,477,549,476,175,0,0,298,877,1062,0,0,0,0,dahye,cross_leg_left,1
62,1786867292.808170,0,427,505,685,723,593,517,611,454,0,78,581,687,774,723,811,665,445,579,478,547,475,175,0,0,298,894,1064,0,0,0,0,dahye,cross_leg_left,1
63,1786867292.808607,0,429,507,687,723,600,509,611,455,0,79,585,687,773,727,808,664,447,588,475,549,473,174,0,0,355,921,1067,0,0,0,0,dahye,cross_leg_left,1
64,1786867292.809049,0,431,505,687,719,593,519,611,459,0,103,584,689,777,723,808,663,453,580,479,544,473,177,0,0,384,942,1062,0,0,0,0,dahye,cross_leg_left,1
65,1786867292.809483,0,424,503,683,716,601,511,613,455,0,105,585,691,776,723,805,663,453,581,472,546,473,175,0,0,373,953,1061,0,0,0,0,dahye,cross_leg_left,1
