frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786867251.994523,0,168,490,679,671,741,605,683,543,164,0,0,397,599,588,648,533,537,714,659,729,649,539,441,0,0,0,0,1069,761,575,0,dahye,cross_leg_right,1
1,1786867251.995412,0,165,487,677,669,741,604,681,551,159,0,0,396,599,588,661,531,538,727,655,728,649,541,441,0,0,0,0,1068,754,567,0,dahye,cross_leg_right,1
2,1786867251.996273,0,164,486,675,668,741,602,679,551,163,0,0,395,599,587,661,532,537,727,655,729,649,541,441,0,0,0,0,1071,748,557,0,dahye,cross_leg_right,1
3,1786867251.997014,0,163,487,676,667,740,606,681,551,159,0,0,395,597,586,659,531,539,727,661,725,645,539,441,0,0,0,0,1065,747,553,0,dahye,cross_leg_right,1
4,1786867251.997735,0,160,488,675,667,739,600,678,551,157,0,0,395,595,585,655,529,537,733,659,728,649,541,442,0,0,0,0,1070,742,557,0,dahye,cross_leg_right,1
5,1786867251.998457,0,165,487,678,667,735,602,679,551,163,0,0,396,599,587,661,529,537,729,659,728,649,541,441,0,0,0,0,1071,740,562,0,dahye,cross_leg_right,1
6,1786867251.999197,0,165,489,677,669,738,607,683,560,159,0,0,397,600,585,675,530,539,738,659,729,649,541,441,0,0,0,0,1071,741,567,0,dahye,cross_leg_right,1
7,1786867251.999919,0,165,485,677,667,738,606,681,552,160,0,0,397,599,587,660,531,539,727,658,731,653,541,441,0,0,0,0,1074,739,567,0,dahye,cross_leg_right,1
8,1786867252.000602,0,167,483,677,669,739,601,680,552,159,0,0,398,601,588,664,531,539,729,659,731,652,547,440,0,0,0,0,1075,738,569,0,dahye,cross_leg_right,1
9,1786867252.001231,0,169,485,678,670,735,615,682,551,165,0,0,401,600,587,659,531,537,726,659,729,651,543,441,0,0,0,0,1076,739,569,0,dahye,cross_leg_right,1
10,1786867252.001863,0,167,485,681,675,741,607,685,553,163,0,0,404,601,589,663,532,539,729,661,731,652,529,441,0,0,0,0,1074,737,571,0,dahye,cross_leg_right,1
11,1786867252.002499,0,169,484,681,672,744,607,683,553,155,0,0,405,602,588,660,531,541,732,663,731,652,540,443,0,0,0,0,1075,735,571,0,dahye,cross_leg_right,1
12,1786867252.003126,0,168,491,680,675,743,605,682,549,159,0,0,406,604,589,663,532,541,731,661,731,651,543,443,0,0,0,0,1077,734,572,0,dahye,cross_leg_right,1
13,1786867252.003754,0,167,491,679,667,743,607,680,551,157,0,0,405,601,589,661,531,540,731,661,732,653,542,441,0,0,0,0,1077,733,573,0,dahye,cross_leg_right,1
14,1786867252.004383,0,165,484,679,665,733,605,679,543,157,0,0,405,601,587,667,531,539,729,659,729,651,543,442,0,0,0,0,1079,732,570,0,dahye,cross_leg_right,1
15,1786867252.005011,0,163,491,669,663,733,604,679,540,148,0,0,403,601,585,659,527,539,727,659,728,650,541,441,0,0,0,0,1077,731,569,0,dahye,cross_leg_right,1
16,1786867252.005641,0,163,487,665,659,732,613,675,535,141,0,0,397,593,587,661,529,537,727,657,731,649,540,440,0,0,0,0,1075,729,567,0,dahye,cross_leg_right,1
17,1786867252.006276,0,157,488,665,654,731,603,675,539,141,0,0,397,597,584,657,525,539,728,659,731,651,541,441,0,0,0,0,1078,731,569,0,dahye,cross_leg_right,1
18,1786867252.006912,0,159,486,663,654,731,603,677,541,140,0,0,397,596,584,659,524,538,727,660,730,653,543,443,0,0,0,0,1078,734,570,0,dahye,cross_leg_right,1
19,1786867252.007557,0,158,486,661,655,733,603,676,548,140,0,0,397,593,585,661,525,540,729,660,731,653,543,441,0,0,0,0,1075,733,574,0,dahye,cross_leg_right,1
20,1786867252.008198,0,156,489,663,654,734,603,679,551,149,0,0,399,597,585,661,525,539,729,664,733,658,543,443,0,0,0,0,1082,734,584,0,dahye,cross_leg_right,1
21,1786867252.008781,0,157,486,662,662,741,605,683,551,155,0,0,403,593,584,663,527,540,733,663,737,661,549,445,0,0,0,0,1083,735,591,0,dahye,cross_leg_right,1
