frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786867203.380481,0,0,0,0,0,0,0,0,0,0,164,505,500,590,501,587,483,495,573,461,532,485,421,351,87,631,1069,181,42,571,723,110,dahye,lean_forward,1
1,1786867203.381595,0,0,0,0,0,0,0,0,0,0,163,505,504,591,501,588,483,495,571,463,531,482,423,358,83,632,1071,179,44,573,725,109,dahye,lean_forward,1
2,1786867203.382484,0,0,0,0,0,0,0,0,0,0,164,505,503,591,501,587,483,494,573,461,531,483,421,357,79,631,1070,178,47,583,725,106,dahye,lean_forward,1
3,1786867203.383282,0,0,0,0,0,0,0,0,0,0,164,503,502,596,501,587,482,495,569,461,530,479,420,355,77,631,1071,179,41,579,723,110,dahye,lean_forward,1
4,1786867203.384017,0,0,0,0,0,0,0,0,0,0,163,505,501,595,501,585,483,495,569,463,530,483,419,351,83,630,1067,179,42,571,724,107,dahye,lean_forward,1
5,1786867203.384748,0,0,0,0,0,0,0,0,0,0,165,505,503,595,502,589,483,494,567,461,529,479,420,354,83,627,1071,182,39,589,723,107,dahye,lean_forward,1
6,1786867203.385484,0,0,0,0,0,0,0,0,0,0,165,504,504,589,501,587,483,493,569,462,529,482,419,349,63,629,1071,181,43,565,723,107,dahye,lean_forward,1
7,1786867203.386214,0,0,0,0,0,0,0,0,0,0,164,505,501,596,499,588,483,493,567,461,527,478,419,349,79,629,1067,181,43,582,703,103,dahye,lean_forward,1
8,1786867203.386926,0,0,0,0,0,0,0,0,0,0,164,509,491,596,505,587,485,494,569,461,530,477,419,349,83,627,1069,183,43,571,722,107,dahye,lean_forward,1
9,1786867203.387577,0,0,0,0,0,0,0,0,0,0,165,505,503,597,503,588,485,495,569,463,533,488,415,350,77,627,1071,183,45,571,722,105,dahye,lean_forward,1
10,1786867203.388214,0,0,0,0,0,0,0,0,0,0,163,504,504,591,503,589,485,495,570,461,533,483,421,351,84,623,1070,183,45,573,723,106,dahye,lean_forward,1
11,1786867203.388848,0,0,0,0,0,0,0,0,0,0,166,505,483,597,501,589,486,495,571,461,531,483,421,356,79,623,1065,183,43,585,719,109,dahye,lean_forward,1
12,1786867203.389496,0,0,0,0,0,0,0,0,0,0,165,524,503,605,503,588,486,495,568,465,531,485,420,357,83,623,1068,182,41,571,719,109,dahye,lean_forward,1
