frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786867448.660081,0,0,47,251,291,585,535,557,467,212,0,0,112,292,295,315,283,187,658,623,721,679,600,596,0,74,205,138,0,200,628,415,dahye,lean_left,1
1,1786867448.660988,0,0,51,251,287,586,535,556,466,207,0,0,111,287,299,314,285,187,651,629,723,680,601,596,0,75,203,137,0,199,627,414,dahye,lean_left,1
2,1786867448.661815,0,0,52,251,291,587,537,555,466,215,0,0,115,288,295,309,277,185,653,627,723,680,600,597,0,75,204,140,0,198,615,420,dahye,lean_left,1
3,1786867448.662565,0,0,51,251,291,587,536,554,462,211,0,0,115,288,299,317,287,187,657,629,721,679,601,596,0,75,204,139,0,200,625,413,dahye,lean_left,1
4,1786867448.663305,0,0,47,251,291,587,537,558,459,213,0,0,114,292,296,315,281,186,655,629,721,681,601,599,0,83,203,139,0,200,623,413,dahye,lean_left,1
5,1786867448.664042,0,0,48,251,291,587,535,557,461,211,0,0,115,292,296,315,283,187,653,629,723,679,599,595,0,75,205,139,0,201,623,419,dahye,lean_left,1
6,1786867448.664777,0,0,51,251,291,587,535,559,467,212,0,0,111,287,297,315,285,185,653,628,719,681,600,594,0,76,203,141,0,199,627,415,dahye,lean_left,1
7,1786867448.665509,0,0,53,251,293,587,535,559,467,213,0,0,115,293,298,304,285,187,650,647,723,679,601,603,0,73,205,139,0,197,629,415,dahye,lean_left,1
8,1786867448.666149,0,0,47,252,296,588,537,558,467,212,0,0,119,293,301,317,285,187,653,629,721,680,601,599,0,73,204,146,0,201,623,413,dahye,lean_left,1
9,1786867448.666788,0,0,55,250,293,585,535,564,474,213,0,0,112,295,309,315,283,186,654,629,721,681,594,597,0,73,204,140,0,197,628,414,dahye,lean_left,1
10,1786867448.667457,0,0,51,251,293,588,535,555,463,206,0,0,115,288,296,316,285,184,649,636,719,681,601,595,0,75,204,148,0,197,627,416,dahye,lean_left,1
11,1786867448.668109,0,0,51,251,291,587,535,558,461,213,0,0,115,297,296,315,282,186,653,631,723,679,600,600,0,73,204,139,0,200,629,415,dahye,lean_left,1
12,1786867448.668768,0,0,48,251,292,587,535,558,471,212,0,0,116,295,299,315,285,187,653,629,721,679,601,597,0,75,205,139,0,199,633,419,dahye,lean_left,1
13,1786867448.669407,0,0,51,252,292,588,535,559,468,213,0,0,117,287,297,316,285,187,655,628,722,677,601,616,0,74,205,139,0,200,623,415,dahye,lean_left,1
14,1786867448.670048,0,0,51,251,291,587,536,557,468,213,0,0,119,291,302,315,287,187,653,629,721,681,600,599,0,83,205,140,0,198,624,421,dahye,lean_left,1
15,1786867448.670698,0,0,60,251,292,585,535,557,471,213,0,0,107,294,299,319,285,185,659,629,722,681,586,597,0,75,205,145,0,200,628,419,dahye,lean_left,1
16,1786867448.671340,0,0,51,250,291,587,535,558,467,212,0,0,116,279,299,317,282,187,653,628,719,681,600,599,0,75,204,139,0,197,627,419,dahye,lean_left,1
17,1786867448.671979,0,0,48,251,288,587,535,557,467,212,0,0,115,292,293,316,287,187,653,629,719,680,600,597,0,75,205,139,0,199,623,419,dahye,lean_left,1
18,1786867448.672622,0,0,51,251,291,587,535,562,463,213,0,0,119,294,307,316,287,187,653,630,722,679,600,597,0,75,204,140,0,196,631,412,dahye,lean_left,1
19,1786867448.673263,0,0,51,251,293,587,536,558,468,212,0,0,117,291,299,315,285,186,652,628,721,681,600,599,0,75,205,140,0,200,655,423,dahye,lean_left,1
20,1786867448.673909,0,0,51,251,292,588,535,557,467,212,0,0,116,306,297,315,278,186,653,629,719,681,600,595,0,73,205,141,0,201,629,415,dahye,lean_left,1
21,1786867448.674565,0,0,51,251,288,587,536,559,467,213,0,0,125,291,300,317,287,186,652,629,723,677,601,589,0,76,205,140,0,201,631,412,dahye,lean_left,1
22,1786867448.675212,0,0,51,252,292,589,537,559,467,212,0,0,116,292,291,317,282,185,652,629,723,683,599,598,0,74,205,140,0,201,617,415,dahye,lean_left,1
23,1786867448.675811,0,0,47,251,291,587,536,556,468,212,0,0,115,296,299,315,284,185,651,627,721,679,598,597,0,75,204,139,0,191,627,403,dahye,lean_left,1
24,1786867448.676389,0,0,51,251,287,587,537,558,467,213,0,0,118,293,292,317,285,186,653,629,721,679,600,601,0,74,205,141,0,191,628,413,dahye,lean_left,1
25,1786867448.677037,0,0,51,251,291,587,536,558,467,213,0,0,116,295,303,317,287,185,652,627,719,680,601,598,0,73,205,139,0,199,620,411,dahye,lean_left,1
26,1786867448.677892,0,0,51,251,291,587,535,558,469,213,0,0,116,291,299,315,287,187,652,629,721,678,601,595,0,73,205,139,0,201,622,412,dahye,lean_left,1
27,1786867448.678596,0,0,51,252,291,586,537,558,467,213,0,0,115,293,297,316,287,187,651,628,721,679,600,599,0,73,205,140,0,201,615,413,dahye,lean_left,1
28,1786867448.679271,0,0,47,251,292,587,536,557,469,213,0,0,117,292,297,316,291,186,649,628,722,680,599,599,0,73,205,140,0,199,629,415,dahye,lean_left,1
29,1786867448.679839,0,0,49,251,293,587,537,559,468,213,0,0,117,292,298,315,283,187,653,629,719,686,601,589,0,75,203,140,0,201,624,425,dahye,lean_left,1
30,1786867448.680397,0,0,47,250,293,587,535,558,468,213,0,0,115,288,297,315,285,185,653,629,721,680,601,599,0,73,205,140,0,198,623,421,dahye,lean_left,1
31,1786867448.680959,0,0,47,251,293,587,536,557,469,213,0,0,117,293,297,315,284,187,653,629,723,678,600,597,0,74,205,139,0,211,622,413,dahye,lean_left,1
