frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786867335.634959,189,479,379,381,425,0,0,0,0,0,915,857,877,922,763,786,539,0,0,0,0,0,0,0,619,1072,967,973,0,0,0,0,dahye,lean_right,1
1,1786867335.635890,189,478,376,379,423,0,0,0,0,0,906,857,876,920,763,779,543,0,0,0,0,0,0,0,619,1065,971,975,0,0,0,0,dahye,lean_right,1
2,1786867335.636703,188,479,373,379,423,0,0,0,0,0,895,853,876,920,761,779,541,0,0,0,0,0,0,0,619,1068,967,971,0,0,0,0,dahye,lean_right,1
3,1786867335.637418,192,479,379,381,423,0,0,0,0,0,913,857,875,919,763,779,539,0,0,0,0,0,0,0,621,1080,959,970,0,0,0,0,dahye,lean_right,1
4,1786867335.638133,199,479,377,381,421,0,0,0,0,0,920,856,875,921,761,780,539,0,0,0,0,0,0,0,621,1071,981,971,0,0,0,0,dahye,lean_right,1
5,1786867335.638850,201,487,377,381,423,0,0,0,0,0,895,857,875,920,761,779,536,0,0,0,0,0,0,0,615,1069,979,974,0,0,0,0,dahye,lean_right,1
6,1786867335.639565,203,487,373,380,421,0,0,0,0,0,895,855,877,920,761,779,539,0,0,0,0,0,0,0,617,1075,953,971,0,0,0,0,dahye,lean_right,1
7,1786867335.640277,204,489,372,381,423,0,0,0,0,0,906,855,877,919,763,781,541,0,0,0,0,0,0,0,617,1071,968,965,0,0,0,0,dahye,lean_right,1
8,1786867335.640934,205,489,377,381,425,0,0,0,0,0,901,857,877,920,762,780,541,0,0,0,0,0,0,0,600,1070,972,969,0,0,0,0,dahye,lean_right,1
9,1786867335.641568,205,488,377,381,426,0,0,0,0,0,902,857,876,917,763,783,547,0,0,0,0,0,0,0,620,1055,971,970,0,0,0,0,dahye,lean_right,1
10,1786867335.642211,203,487,377,381,427,0,0,0,0,0,901,859,877,917,761,791,541,0,0,0,0,0,0,0,621,1070,973,969,0,0,0,0,dahye,lean_right,1
11,1786867335.642903,205,490,379,383,424,0,0,0,0,0,903,859,877,919,763,781,551,0,0,0,0,0,0,0,620,1082,957,968,0,0,0,0,dahye,lean_right,1
12,1786867335.643656,204,488,377,383,424,0,0,0,0,0,902,857,877,918,763,789,541,0,0,0,0,0,0,0,619,1070,971,966,0,0,0,0,dahye,lean_right,1
13,1786867335.644285,203,489,377,383,427,0,0,0,0,0,902,859,877,919,763,777,555,0,0,0,0,0,0,0,627,1067,973,967,0,0,0,0,dahye,lean_right,1
14,1786867335.644919,203,488,379,381,425,0,0,0,0,0,901,859,876,925,763,776,531,0,0,0,0,0,0,0,628,1087,973,967,0,0,0,0,dahye,lean_right,1
15,1786867335.645540,201,488,377,381,424,0,0,0,0,0,902,855,875,915,763,781,557,0,0,0,0,0,0,0,631,1071,970,959,0,0,0,0,dahye,lean_right,1
16,1786867335.646168,203,488,378,383,424,0,0,0,0,0,902,859,877,921,763,783,539,0,0,0,0,0,0,0,620,1070,969,964,0,0,0,0,dahye,lean_right,1
17,1786867335.646792,205,491,378,383,427,0,0,0,0,0,903,860,881,921,762,789,540,0,0,0,0,0,0,0,611,1071,972,964,0,0,0,0,dahye,lean_right,1
18,1786867335.647413,205,490,377,383,428,0,0,0,0,0,903,859,883,923,763,781,541,0,0,0,0,0,0,0,627,1069,971,960,0,0,0,0,dahye,lean_right,1
19,1786867335.648038,205,491,378,389,427,0,0,0,0,0,903,859,879,919,763,775,541,0,0,0,0,0,0,0,615,1067,973,964,0,0,0,0,dahye,lean_right,1
20,1786867335.648673,205,491,379,383,427,0,0,0,0,0,903,856,877,923,763,781,540,0,0,0,0,0,0,0,629,1071,979,959,0,0,0,0,dahye,lean_right,1
21,1786867335.649296,203,493,378,383,427,0,0,0,0,0,903,859,879,921,763,781,539,0,0,0,0,0,0,0,623,1075,971,959,0,0,0,0,dahye,lean_right,1
22,1786867335.649940,207,492,379,383,425,0,0,0,0,0,902,857,878,920,763,783,539,0,0,0,0,0,0,0,632,1071,968,965,0,0,0,0,dahye,lean_right,1
23,1786867335.650542,210,493,379,390,429,0,0,0,0,0,903,861,877,923,763,781,540,0,0,0,0,0,0,0,618,1071,969,965,0,0,0,0,dahye,lean_right,1
24,1786867335.651095,211,491,380,389,427,0,0,0,0,0,903,859,878,921,764,781,541,0,0,0,0,0,0,0,625,1071,967,959,0,0,0,0,dahye,lean_right,1
25,1786867335.651654,207,491,381,389,429,0,0,0,0,0,903,861,877,924,763,776,540,0,0,0,0,0,0,0,621,1075,981,967,0,0,0,0,dahye,lean_right,1
26,1786867335.652207,207,494,380,391,429,0,0,0,0,0,903,860,877,921,763,781,539,0,0,0,0,0,0,0,631,1071,969,965,0,0,0,0,dahye,lean_right,1
27,1786867335.652998,209,493,380,383,431,0,0,0,0,0,902,861,877,921,763,779,539,0,0,0,0,0,0,0,627,1074,969,965,0,0,0,0,dahye,lean_right,1
28,1786867335.653690,207,493,380,391,430,0,0,0,0,0,905,856,879,920,763,781,541,0,0,0,0,0,0,0,623,1075,972,968,0,0,0,0,dahye,lean_right,1
29,1786867335.654342,205,481,380,391,431,0,0,0,0,0,902,858,879,923,765,781,539,0,0,0,0,0,0,0,617,1075,983,966,0,0,0,0,dahye,lean_right,1
30,1786867335.654900,208,495,381,389,431,0,0,0,0,0,903,861,878,921,764,781,541,0,0,0,0,0,0,0,627,1071,971,967,0,0,0,0,dahye,lean_right,1
31,1786867335.655459,205,493,379,389,429,0,0,0,0,0,903,859,878,925,763,781,540,0,0,0,0,0,0,0,627,1069,971,959,0,0,0,0,dahye,lean_right,1
32,1786867335.656025,209,493,379,390,430,0,0,0,0,0,903,861,878,922,765,781,539,0,0,0,0,0,0,0,625,1075,969,967,0,0,0,0,dahye,lean_right,1
33,1786867335.656580,207,493,381,391,434,0,0,0,0,0,905,859,879,925,763,781,539,0,0,0,0,0,0,0,629,1075,975,965,0,0,0,0,dahye,lean_right,1
34,1786867335.657165,205,493,378,390,429,0,0,0,0,0,901,855,875,923,761,780,538,0,0,0,0,0,0,0,623,1075,971,965,0,0,0,0,dahye,lean_right,1
35,1786867335.657735,210,498,379,391,430,0,0,0,0,0,904,857,878,921,763,777,539,0,0,0,0,0,0,0,628,1072,973,964,0,0,0,0,dahye,lean_right,1
36,1786867335.658294,205,495,380,391,431,0,0,0,0,0,903,860,879,921,764,780,539,0,0,0,0,0,0,0,629,1074,971,965,0,0,0,0,dahye,lean_right,1
37,1786867335.658843,205,495,381,389,429,0,0,0,0,0,903,859,878,925,765,779,539,0,0,0,0,0,0,0,627,1074,973,965,0,0,0,0,dahye,lean_right,1
38,1786867335.659393,206,496,383,390,430,0,0,0,0,0,903,859,879,925,749,782,547,0,0,0,0,0,0,0,632,1075,974,967,0,0,0,0,dahye,lean_right,1
39,1786867335.659956,209,499,373,391,431,0,0,0,0,0,903,860,878,921,764,779,541,0,0,0,0,0,0,0,627,1075,977,967,0,0,0,0,dahye,lean_right,1
40,1786867335.660513,208,499,381,391,431,0,0,0,0,0,903,857,882,921,765,781,542,0,0,0,0,0,0,0,627,1075,973,967,0,0,0,0,dahye,lean_right,1
41,1786867335.661075,211,491,379,391,435,0,0,0,0,0,904,857,879,925,767,777,541,0,0,0,0,0,0,0,629,1075,979,966,0,0,0,0,dahye,lean_right,1
42,1786867335.661628,211,500,382,392,435,0,0,0,0,0,895,858,883,924,767,780,539,0,0,0,0,0,0,0,622,1071,972,967,0,0,0,0,dahye,lean_right,1
