frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786867160.409488,0,189,300,535,529,606,490,537,316,0,157,477,487,607,556,581,482,421,570,563,607,487,379,297,207,631,907,317,718,726,671,0,dahye,sitting_straight,1
1,1786867160.410886,0,201,301,548,555,629,507,541,319,0,153,465,479,599,549,573,471,419,563,559,605,486,371,292,189,619,859,277,701,713,613,0,dahye,sitting_straight,1
2,1786867160.411957,0,216,303,559,571,644,520,551,328,0,149,453,477,591,541,567,471,407,556,557,601,474,360,285,199,613,823,227,671,703,559,0,dahye,sitting_straight,1
3,1786867160.412807,0,223,310,570,591,658,529,565,331,0,149,445,471,583,533,569,476,413,553,563,604,476,347,284,189,603,797,187,645,697,541,0,dahye,sitting_straight,1
4,1786867160.413666,0,235,317,583,601,663,538,579,333,0,151,440,467,574,530,569,469,405,553,567,613,476,349,279,175,599,778,160,629,696,536,0,dahye,sitting_straight,1
5,1786867160.414428,0,248,327,599,603,671,549,587,341,0,147,431,469,575,524,569,472,407,555,573,620,478,345,279,179,591,765,147,633,696,533,0,dahye,sitting_straight,1
6,1786867160.415165,0,251,339,605,619,675,555,599,347,0,137,443,467,575,523,569,475,409,555,571,627,479,342,269,183,599,763,151,632,713,531,0,dahye,sitting_straight,1
7,1786867160.415908,0,262,345,611,620,679,559,604,351,0,147,440,459,575,523,572,475,414,561,591,629,478,341,267,206,606,761,127,633,728,527,0,dahye,sitting_straight,1
8,1786867160.416642,0,267,347,612,623,679,557,606,361,0,147,439,467,575,523,571,473,411,563,573,631,489,337,267,213,607,761,151,633,730,531,0,dahye,sitting_straight,1
9,1786867160.417364,0,265,339,613,619,681,553,606,360,0,148,435,465,571,518,571,475,415,559,565,629,491,333,266,216,603,762,151,629,731,531,0,dahye,sitting_straight,1
10,1786867160.418053,0,266,331,611,617,675,553,600,359,0,149,441,459,573,521,569,472,414,561,581,631,491,331,265,219,594,761,147,637,739,536,0,dahye,sitting_straight,1
11,1786867160.418691,0,265,329,601,613,665,549,597,356,0,150,443,459,573,519,563,473,414,558,569,633,488,327,267,221,603,759,136,628,743,535,0,dahye,sitting_straight,1
12,1786867160.419319,0,261,329,597,603,659,552,593,347,0,147,443,456,573,521,567,471,411,557,583,633,494,325,267,222,611,755,127,615,751,535,0,dahye,sitting_straight,1
13,1786867160.419946,0,253,327,590,599,652,551,588,343,0,149,441,461,572,519,569,469,413,553,581,634,484,331,265,231,605,759,120,601,763,534,0,dahye,sitting_straight,1
14,1786867160.420580,0,249,320,586,597,649,543,589,330,0,151,445,453,573,521,567,469,409,555,579,637,484,331,268,233,607,759,121,603,779,529,0,dahye,sitting_straight,1
