frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786864901.601927,0,315,291,612,553,571,277,366,0,0,393,603,708,779,773,837,683,636,715,599,582,517,363,0,0,1034,1246,1131,0,0,0,0,yewon,cross_leg_left,1
1,1786864901.602821,0,313,291,609,552,570,276,367,0,0,391,603,711,786,775,839,683,637,719,599,581,499,364,0,0,1039,1251,1135,0,0,0,0,yewon,cross_leg_left,1
2,1786864901.603642,0,311,286,603,551,571,274,366,0,0,391,605,709,781,777,839,684,645,719,597,582,519,365,0,0,1039,1251,1143,0,0,0,0,yewon,cross_leg_left,1
3,1786864901.604367,0,307,285,602,549,573,275,367,0,0,391,603,703,781,779,839,686,630,721,599,583,521,366,0,0,1041,1242,1143,0,0,0,0,yewon,cross_leg_left,1
4,1786864901.605091,0,301,282,591,541,573,277,371,0,0,383,603,709,781,779,840,686,646,701,601,583,519,371,0,0,1043,1250,1142,0,0,0,0,yewon,cross_leg_left,1
5,1786864901.605846,0,298,283,589,547,575,281,376,0,0,379,611,701,781,780,843,701,649,726,603,587,520,382,0,0,1039,1251,1143,0,0,0,0,yewon,cross_leg_left,1
6,1786864901.606576,0,292,279,585,539,575,283,378,0,0,371,601,701,776,776,840,687,662,729,605,586,523,373,0,0,1041,1257,1142,0,0,0,0,yewon,cross_leg_left,1
7,1786864901.607300,0,285,278,575,537,580,285,383,0,0,362,595,703,773,768,838,687,651,731,603,588,525,373,0,0,1041,1253,1145,0,0,0,0,yewon,cross_leg_left,1
8,1786864901.607953,0,279,275,573,531,581,285,389,0,0,349,612,697,765,767,837,681,651,731,604,589,527,376,0,0,1044,1246,1141,0,0,0,0,yewon,cross_leg_left,1
9,1786864901.608591,0,273,277,572,532,582,287,395,0,0,341,597,695,765,765,839,689,649,732,620,591,523,380,0,0,1039,1249,1140,0,0,0,0,yewon,cross_leg_left,1
10,1786864901.609226,0,271,277,574,532,587,293,403,0,0,335,591,701,767,764,836,690,659,735,615,595,535,383,0,0,1044,1241,1139,0,0,0,0,yewon,cross_leg_left,1
