frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786864858.143929,0,0,135,424,457,613,355,567,309,0,0,0,467,569,603,684,647,679,791,723,754,723,611,365,0,0,0,0,1224,1261,1228,281,yewon,cross_leg_right,1
1,1786864858.145040,0,0,140,425,457,615,359,569,309,0,0,0,461,566,595,681,639,676,789,723,751,722,613,367,0,0,0,0,1222,1259,1227,297,yewon,cross_leg_right,1
2,1786864858.146075,0,0,145,426,458,616,357,571,313,0,0,0,459,565,589,680,635,675,791,723,751,722,611,365,0,0,0,0,1222,1259,1229,309,yewon,cross_leg_right,1
3,1786864858.146943,0,0,155,429,457,619,357,575,317,0,0,0,459,565,594,679,637,677,792,725,755,717,613,367,0,0,0,0,1221,1261,1229,317,yewon,cross_leg_right,1
4,1786864858.147816,0,0,165,439,462,621,356,583,327,0,0,0,461,568,595,683,639,678,793,724,758,728,614,365,0,0,0,0,1223,1261,1235,329,yewon,cross_leg_right,1
5,1786864858.148581,0,0,188,460,473,626,357,585,331,0,0,0,461,573,596,684,637,679,795,725,755,725,616,363,0,0,0,0,1227,1261,1241,332,yewon,cross_leg_right,1
6,1786864858.149343,0,0,211,486,476,629,359,589,338,0,0,0,467,575,591,687,645,681,795,726,748,723,619,363,0,0,0,0,1223,1263,1241,345,yewon,cross_leg_right,1
7,1786864858.150241,0,0,219,505,488,635,360,590,345,0,0,0,469,581,601,686,649,681,796,727,747,725,621,359,0,0,0,0,1224,1267,1239,349,yewon,cross_leg_right,1
8,1786864858.150968,0,0,232,523,495,637,354,595,357,0,0,0,472,585,605,687,647,683,797,725,755,725,623,363,0,0,0,0,1225,1269,1244,345,yewon,cross_leg_right,1
9,1786864858.151693,0,0,245,535,499,645,360,595,391,0,0,0,473,586,603,685,639,684,800,733,760,727,627,371,0,0,0,0,1227,1271,1243,349,yewon,cross_leg_right,1
10,1786864858.152344,0,0,248,539,503,649,363,599,424,0,0,0,475,587,605,685,647,687,805,735,756,727,632,379,0,0,0,0,1226,1271,1243,340,yewon,cross_leg_right,1
11,1786864858.152989,0,0,253,549,507,651,363,606,447,0,0,0,475,591,601,686,643,691,807,734,757,729,638,397,0,0,0,0,1227,1271,1243,313,yewon,cross_leg_right,1
12,1786864858.153623,0,0,261,553,522,653,364,603,466,0,0,0,473,567,612,685,644,695,805,739,759,729,645,413,0,0,0,0,1226,1272,1245,339,yewon,cross_leg_right,1
13,1786864858.154257,0,0,255,559,520,654,366,611,476,0,0,0,475,589,614,691,649,697,811,739,773,729,647,427,0,0,0,0,1229,1273,1243,343,yewon,cross_leg_right,1
14,1786864858.154894,0,0,267,563,523,661,371,617,503,0,0,0,477,589,611,685,648,701,813,739,759,727,653,439,0,0,0,0,1227,1274,1245,342,yewon,cross_leg_right,1
15,1786864858.155525,0,0,270,568,529,664,373,627,506,0,0,0,477,595,614,681,647,701,815,743,760,718,653,447,0,0,0,0,1228,1275,1246,343,yewon,cross_leg_right,1
16,1786864858.156177,0,0,268,568,529,664,373,629,529,0,0,0,475,595,611,683,653,702,815,744,757,721,653,459,0,0,0,0,1229,1275,1246,341,yewon,cross_leg_right,1
17,1786864858.156880,0,0,269,568,531,668,367,634,538,27,0,0,473,591,603,679,647,699,815,744,779,724,649,462,0,0,0,0,1228,1275,1247,341,yewon,cross_leg_right,1
18,1786864858.157536,0,0,268,569,532,677,381,645,551,69,0,0,471,589,602,669,637,699,815,744,762,725,652,469,0,0,0,0,1227,1275,1243,335,yewon,cross_leg_right,1
19,1786864858.158177,0,0,266,570,531,676,377,648,565,103,0,0,467,587,599,661,631,698,818,745,762,726,654,471,0,0,0,0,1228,1273,1245,327,yewon,cross_leg_right,1
20,1786864858.158820,0,0,274,571,533,679,375,651,571,125,0,0,463,585,599,659,628,697,817,743,757,725,653,473,0,0,0,0,1228,1275,1243,315,yewon,cross_leg_right,1
21,1786864858.159458,0,0,276,580,531,672,381,655,581,137,0,0,463,587,600,665,629,699,819,745,763,728,677,472,0,0,0,0,1229,1276,1242,297,yewon,cross_leg_right,1
22,1786864858.160029,0,0,283,585,535,677,381,661,582,143,0,0,466,589,603,667,629,699,819,743,763,728,654,475,0,0,0,0,1228,1275,1240,278,yewon,cross_leg_right,1
23,1786864858.160597,0,0,287,594,536,669,392,667,587,151,0,0,467,591,606,670,631,701,821,747,763,731,655,474,0,0,0,0,1231,1275,1240,247,yewon,cross_leg_right,1
24,1786864858.161164,0,95,296,600,541,681,405,667,587,155,0,0,468,593,603,679,645,701,825,745,761,731,653,472,0,0,0,0,1229,1275,1237,239,yewon,cross_leg_right,1
25,1786864858.161898,0,117,301,607,548,680,410,670,589,155,0,0,471,597,611,681,638,709,824,747,764,729,651,469,0,0,0,0,1229,1275,1237,211,yewon,cross_leg_right,1
26,1786864858.162597,0,121,309,617,554,683,413,670,589,156,0,0,475,601,612,685,645,708,823,745,764,729,648,469,0,0,0,0,1227,1274,1235,221,yewon,cross_leg_right,1
27,1786864858.163280,0,127,313,623,555,681,425,671,591,155,0,0,478,603,618,685,649,709,823,745,763,725,651,461,0,0,0,0,1223,1273,1231,218,yewon,cross_leg_right,1
28,1786864858.163894,0,135,316,631,561,679,415,671,591,151,0,0,481,605,621,693,653,709,819,742,763,725,649,458,0,0,0,0,1225,1272,1227,213,yewon,cross_leg_right,1
29,1786864858.164458,0,137,325,633,563,679,412,673,593,149,0,0,483,609,624,699,653,703,821,741,761,725,652,458,0,0,0,0,1225,1271,1225,212,yewon,cross_leg_right,1
30,1786864858.165016,0,149,327,637,567,675,411,672,593,151,0,0,488,613,633,699,649,709,823,741,779,729,645,459,0,0,0,0,1224,1271,1225,211,yewon,cross_leg_right,1
31,1786864858.165585,0,157,329,647,572,675,403,671,591,151,0,0,490,617,637,711,667,712,822,741,761,727,639,457,0,0,0,0,1226,1271,1222,211,yewon,cross_leg_right,1
32,1786864858.166166,0,163,329,648,572,672,396,670,591,151,0,0,493,621,644,719,671,711,822,740,762,728,647,460,0,0,0,0,1225,1271,1223,207,yewon,cross_leg_right,1
33,1786864858.166733,0,167,329,649,573,671,391,670,594,149,0,0,502,626,649,717,677,712,821,737,761,729,649,456,0,0,0,0,1225,1271,1223,204,yewon,cross_leg_right,1
34,1786864858.167300,0,172,331,650,574,671,405,667,593,147,0,0,507,631,655,727,679,713,823,739,787,725,649,457,0,0,0,0,1225,1269,1221,200,yewon,cross_leg_right,1
35,1786864858.167878,0,175,332,654,583,671,395,664,583,136,0,44,519,635,663,728,678,713,820,741,761,727,661,452,0,0,0,0,1225,1270,1215,189,yewon,cross_leg_right,1
36,1786864858.168467,0,180,334,660,585,669,379,660,570,116,0,77,523,638,667,729,683,711,821,746,760,725,647,447,0,0,0,0,1223,1267,1206,179,yewon,cross_leg_right,1
37,1786864858.169040,0,183,339,663,587,665,377,657,565,76,0,91,524,647,671,733,685,710,819,733,758,725,631,439,0,0,0,0,1213,1267,1203,169,yewon,cross_leg_right,1
38,1786864858.169597,0,189,345,665,587,671,376,653,557,45,0,101,533,649,671,735,687,709,815,743,757,723,636,435,0,0,0,0,1213,1261,1204,165,yewon,cross_leg_right,1
39,1786864858.170166,0,219,363,669,591,663,375,653,557,23,0,105,534,653,677,755,691,709,815,732,749,725,639,425,0,0,0,0,1213,1261,1196,155,yewon,cross_leg_right,1
40,1786864858.170723,0,237,379,677,594,661,379,654,557,0,0,108,541,653,679,744,687,703,814,729,751,727,639,414,0,0,0,0,1214,1260,1192,148,yewon,cross_leg_right,1
41,1786864858.171290,0,261,397,683,598,665,375,655,557,0,0,114,543,658,687,744,693,701,813,734,750,715,631,411,0,0,0,0,1211,1258,1183,138,yewon,cross_leg_right,1
