frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786864796.024587,0,0,87,467,445,557,267,280,0,0,433,556,589,680,617,701,639,604,668,568,580,549,407,126,717,1067,1079,670,887,1099,1067,395,yewon,lean_forward,1
1,1786864796.025941,0,0,89,467,453,551,251,275,0,0,430,557,590,685,621,712,633,603,653,568,575,547,407,121,713,1079,1081,711,882,1095,1064,399,yewon,lean_forward,1
2,1786864796.027232,0,0,92,471,453,542,249,270,0,0,431,557,595,687,631,711,637,603,653,567,575,549,407,123,713,1061,1078,749,876,1094,1067,402,yewon,lean_forward,1
3,1786864796.028211,0,0,93,473,455,537,249,261,0,0,435,559,593,687,631,723,640,601,654,568,575,549,407,119,699,1052,1085,779,876,1095,1075,399,yewon,lean_forward,1
4,1786864796.029154,0,0,93,475,455,523,245,249,0,0,435,559,595,691,635,720,639,600,654,568,575,549,407,115,685,1041,1082,799,879,1097,1071,379,yewon,lean_forward,1
5,1786864796.029994,0,0,94,474,455,523,240,245,0,0,437,559,596,693,635,723,647,603,644,569,575,551,407,119,674,1021,1077,809,885,1101,1078,403,yewon,lean_forward,1
6,1786864796.030864,0,0,99,473,455,523,243,243,0,0,437,563,603,695,633,721,647,605,645,563,580,549,408,118,653,1015,1069,799,892,1109,1082,401,yewon,lean_forward,1
7,1786864796.031686,0,0,95,469,455,529,244,243,0,0,437,559,603,695,635,718,649,605,647,573,587,553,410,120,645,1007,1064,789,905,1115,1093,399,yewon,lean_forward,1
8,1786864796.032478,0,0,79,454,443,523,244,237,0,0,435,561,603,697,633,719,647,605,661,575,587,551,410,121,649,1007,1067,782,919,1127,1095,398,yewon,lean_forward,1
9,1786864796.033236,0,0,0,407,423,521,235,217,0,0,423,553,597,697,632,709,639,604,661,573,585,549,409,121,655,1017,1079,763,939,1134,1093,421,yewon,lean_forward,1
10,1786864796.033903,0,0,0,332,389,499,221,180,0,0,389,527,585,695,627,699,633,600,664,581,583,542,407,115,661,1017,1097,781,967,1157,1083,383,yewon,lean_forward,1
11,1786864796.034557,0,0,0,221,341,474,203,114,0,0,297,477,556,683,622,691,631,597,664,581,572,533,397,114,664,1031,1111,761,983,1181,1052,367,yewon,lean_forward,1
12,1786864796.035206,0,0,0,53,286,441,183,93,0,0,239,457,555,669,617,686,622,597,681,591,571,524,403,111,657,1049,1127,766,1015,1208,1048,358,yewon,lean_forward,1
13,1786864796.035868,0,0,0,0,225,409,171,81,0,0,217,447,554,663,615,682,622,600,683,585,573,523,405,121,647,1063,1133,777,1013,1225,1042,349,yewon,lean_forward,1
14,1786864796.036541,0,0,0,0,187,393,155,57,0,0,207,445,553,655,615,683,623,603,683,597,581,531,411,134,638,1065,1144,779,1041,1228,1035,341,yewon,lean_forward,1
15,1786864796.037188,0,0,0,0,155,381,150,21,0,0,191,445,555,654,613,685,623,603,687,600,586,539,416,151,633,1079,1150,793,1032,1215,1031,331,yewon,lean_forward,1
16,1786864796.037877,0,0,0,0,141,379,147,0,0,0,175,443,555,645,611,683,627,604,685,606,590,543,423,169,644,1081,1164,803,1011,1205,1014,309,yewon,lean_forward,1
17,1786864796.038620,0,0,0,0,140,381,149,50,0,0,171,441,554,646,611,687,623,601,682,601,587,549,426,201,643,1079,1174,819,985,1192,974,291,yewon,lean_forward,1
18,1786864796.039273,0,0,0,0,169,399,155,76,0,0,165,437,557,645,611,687,623,601,683,587,591,549,427,204,648,1086,1179,826,977,1183,937,285,yewon,lean_forward,1
19,1786864796.040023,0,0,0,0,207,415,163,84,0,0,163,435,555,633,607,683,620,598,679,597,591,551,427,201,648,1081,1187,851,967,1178,931,283,yewon,lean_forward,1
20,1786864796.041003,0,0,0,0,219,425,167,85,0,0,155,435,551,632,603,685,621,597,680,597,591,553,425,169,633,1069,1188,870,973,1178,935,281,yewon,lean_forward,1
21,1786864796.041680,0,0,0,0,213,434,167,79,0,0,143,422,541,621,596,683,620,597,682,599,595,553,419,153,567,1054,1190,889,983,1196,922,279,yewon,lean_forward,1
22,1786864796.042290,0,0,0,0,171,408,157,54,0,0,125,405,537,613,585,682,619,595,683,588,595,552,404,126,521,1021,1181,941,999,1205,948,275,yewon,lean_forward,1
23,1786864796.042936,0,0,0,0,105,355,135,0,0,0,107,393,519,611,585,686,627,595,685,601,597,542,381,93,437,995,1183,1015,1015,1223,971,271,yewon,lean_forward,1
24,1786864796.043675,0,0,0,0,76,298,106,0,0,0,93,382,504,616,590,695,623,595,684,597,597,535,361,53,379,953,1190,1063,1017,1228,1003,263,yewon,lean_forward,1
25,1786864796.044390,0,0,0,0,27,277,89,0,0,0,92,380,503,617,597,699,627,595,685,595,600,529,343,25,312,936,1195,1093,1033,1230,1007,229,yewon,lean_forward,1
26,1786864796.045095,0,0,0,0,0,264,75,0,0,0,93,393,505,623,611,701,627,593,685,615,599,521,332,0,219,915,1199,1106,1035,1233,988,139,yewon,lean_forward,1
27,1786864796.045669,0,0,0,0,91,265,69,0,0,0,95,409,522,647,627,715,628,591,680,600,590,507,313,0,205,911,1205,1113,1048,1228,952,69,yewon,lean_forward,1
28,1786864796.046233,0,0,0,25,163,271,72,0,0,0,105,427,538,667,635,727,633,587,681,591,581,489,285,0,184,916,1211,1109,1063,1225,920,0,yewon,lean_forward,1
29,1786864796.046795,0,0,0,175,261,290,91,0,0,0,123,445,559,680,658,731,636,585,678,569,563,474,245,0,183,923,1221,1113,1078,1213,901,0,yewon,lean_forward,1
30,1786864796.047357,0,0,0,247,299,303,96,0,0,0,170,467,571,695,671,744,653,585,679,585,547,468,231,0,185,931,1223,1113,1086,1215,885,0,yewon,lean_forward,1
31,1786864796.047917,0,0,0,274,327,315,93,0,0,0,189,489,585,701,676,744,655,588,669,573,534,461,221,0,189,947,1225,1116,1087,1209,871,0,yewon,lean_forward,1
32,1786864796.048489,0,0,0,279,331,312,87,0,0,0,209,502,597,713,677,743,659,586,666,549,531,454,215,0,197,955,1225,1110,1095,1193,854,0,yewon,lean_forward,1
33,1786864796.049058,0,0,0,279,331,307,75,0,0,0,253,507,599,719,677,749,665,583,651,543,521,440,207,0,237,989,1216,1093,1095,1181,841,0,yewon,lean_forward,1
34,1786864796.049625,0,0,0,265,317,291,37,0,0,0,277,517,599,717,680,741,653,573,636,527,505,437,201,0,297,973,1221,1083,1095,1173,827,0,yewon,lean_forward,1
35,1786864796.050182,0,0,0,263,310,277,0,0,0,0,284,520,599,715,680,741,651,565,622,517,501,429,198,0,318,983,1215,1081,1095,1165,831,0,yewon,lean_forward,1
36,1786864796.050746,0,0,0,262,304,255,0,0,0,0,288,520,597,716,677,741,635,551,613,499,495,427,187,0,349,993,1215,1082,1093,1162,827,0,yewon,lean_forward,1
37,1786864796.051303,0,0,0,263,309,249,0,0,0,0,291,521,598,719,677,739,635,551,603,493,493,431,187,0,384,1001,1213,1076,1093,1164,829,0,yewon,lean_forward,1
38,1786864796.051868,0,0,0,269,303,245,0,0,0,0,293,521,595,715,675,733,635,550,599,491,495,431,191,0,424,1003,1207,1073,1095,1159,831,0,yewon,lean_forward,1
