frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786865015.290577,0,0,239,431,467,503,254,443,0,0,483,557,680,767,799,795,607,543,734,684,667,551,461,269,963,1225,1166,807,789,1083,1098,713,yewon,lean_left,1
1,1786865015.291511,0,0,235,425,454,494,261,441,0,0,482,553,679,777,791,789,613,554,754,685,664,548,465,268,955,1229,1162,815,799,1076,1081,664,yewon,lean_left,1
2,1786865015.292390,0,0,226,419,436,495,287,443,0,0,477,550,680,776,787,777,614,563,780,691,661,543,465,265,955,1230,1179,819,793,1065,1055,647,yewon,lean_left,1
3,1786865015.293151,0,0,227,407,425,495,312,459,0,0,473,543,677,779,779,763,618,574,805,698,661,543,472,283,937,1231,1175,822,782,1049,1041,620,yewon,lean_left,1
4,1786865015.293914,0,0,215,397,412,495,338,470,0,0,461,539,671,776,761,747,623,595,815,701,663,541,483,325,965,1227,1177,823,744,1029,1019,603,yewon,lean_left,1
5,1786865015.294679,0,0,210,390,403,505,361,485,0,0,441,529,664,776,755,742,627,601,831,715,665,531,495,346,937,1226,1177,823,714,997,1011,599,yewon,lean_left,1
6,1786865015.295490,0,0,203,379,393,521,371,495,0,0,415,519,650,765,741,728,631,612,850,727,667,539,506,365,891,1223,1173,825,668,985,1001,602,yewon,lean_left,1
7,1786865015.296266,0,0,202,376,378,532,384,517,0,0,390,505,632,751,727,715,634,621,855,734,674,555,529,389,901,1215,1161,829,639,955,1014,619,yewon,lean_left,1
8,1786865015.296931,0,0,205,371,371,537,407,529,0,0,353,498,609,735,713,697,632,628,863,743,681,575,538,413,877,1208,1167,830,607,949,994,665,yewon,lean_left,1
9,1786865015.297593,0,0,202,367,372,548,421,547,63,0,295,484,587,713,688,671,629,635,862,747,693,597,553,439,837,1203,1162,841,603,947,993,711,yewon,lean_left,1
10,1786865015.298259,0,0,205,365,367,559,427,559,91,0,264,461,553,683,667,650,619,637,869,749,711,615,573,455,815,1192,1159,846,603,947,997,748,yewon,lean_left,1
11,1786865015.298923,0,0,201,361,360,565,431,568,119,0,214,425,525,653,635,604,607,638,869,756,718,629,587,469,767,1177,1147,855,611,955,1011,787,yewon,lean_left,1
12,1786865015.299586,0,0,211,359,350,569,433,573,163,0,187,372,491,623,591,569,595,647,871,757,727,649,600,481,721,1151,1131,857,620,988,1036,811,yewon,lean_left,1
13,1786865015.300251,0,0,191,349,347,571,437,576,180,0,139,325,462,597,536,529,585,650,875,760,735,666,615,505,606,1109,1111,847,649,1003,1071,837,yewon,lean_left,1
