frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786864971.931829,0,245,404,648,617,556,372,535,203,0,537,612,693,735,765,891,727,439,537,530,599,539,427,77,827,1108,1065,685,612,919,875,41,yewon,lean_right,1
1,1786864971.933092,0,239,402,647,617,555,367,535,189,0,535,613,693,743,767,893,728,440,539,533,607,540,430,60,829,1113,1063,691,606,918,861,33,yewon,lean_right,1
2,1786864971.933958,0,243,403,646,615,555,365,533,173,0,539,614,697,741,775,893,733,441,540,535,594,540,429,53,839,1115,1067,699,603,917,859,31,yewon,lean_right,1
3,1786864971.934776,0,249,407,649,615,551,350,530,147,0,543,618,699,755,789,905,741,441,542,535,595,541,427,0,845,1119,1071,711,595,916,854,0,yewon,lean_right,1
4,1786864971.935504,0,263,414,651,615,541,301,522,100,0,553,621,711,745,808,911,747,441,541,533,595,538,424,0,855,1125,1079,721,587,908,841,0,yewon,lean_right,1
5,1786864971.936234,0,279,421,651,619,529,281,507,74,0,569,623,713,750,827,915,746,431,536,531,588,531,420,0,865,1131,1080,723,571,903,811,0,yewon,lean_right,1
6,1786864971.936968,0,299,426,664,617,505,271,503,0,0,573,632,721,757,843,920,754,415,521,525,581,517,399,0,873,1149,1087,735,555,886,761,0,yewon,lean_right,1
7,1786864971.937695,0,319,429,665,617,489,255,473,0,0,586,652,727,762,867,924,757,420,508,506,567,501,399,0,875,1135,1093,735,523,871,698,0,yewon,lean_right,1
8,1786864971.938479,0,347,443,680,617,475,249,453,0,0,600,655,731,767,878,927,759,420,500,483,548,490,373,0,878,1147,1117,739,502,857,665,0,yewon,lean_right,1
9,1786864971.939133,0,414,455,691,629,467,243,424,0,0,614,661,739,783,887,933,763,411,486,457,529,477,347,0,877,1151,1087,741,490,837,623,0,yewon,lean_right,1
10,1786864971.939776,0,469,469,701,648,445,231,395,0,0,627,665,743,793,892,935,765,406,470,428,501,459,317,0,881,1151,1099,741,483,803,605,0,yewon,lean_right,1
11,1786864971.940413,0,503,475,716,655,431,217,341,0,0,636,667,747,800,909,941,765,397,441,410,476,444,292,0,879,1165,1124,741,473,789,581,0,yewon,lean_right,1
12,1786864971.941053,0,537,489,727,670,411,203,312,0,0,653,681,751,825,916,949,773,383,420,393,455,423,249,0,879,1164,1123,743,471,753,551,0,yewon,lean_right,1
13,1786864971.941693,0,559,503,735,679,397,183,296,0,0,664,691,760,842,921,951,775,371,399,373,439,399,227,0,884,1165,1116,743,477,709,506,0,yewon,lean_right,1
14,1786864971.942332,0,579,518,741,687,380,173,281,0,0,671,693,767,859,924,955,780,357,373,355,419,363,198,0,883,1167,1109,743,478,690,489,0,yewon,lean_right,1
15,1786864971.942984,0,595,527,747,693,361,167,252,0,0,679,699,776,869,927,956,781,342,349,341,403,310,177,0,879,1167,1122,745,487,670,471,0,yewon,lean_right,1
16,1786864971.943645,0,611,536,762,701,333,157,235,0,0,675,701,779,871,932,954,791,327,327,315,376,267,135,0,883,1170,1123,743,491,664,456,0,yewon,lean_right,1
17,1786864971.944289,31,629,544,773,713,331,151,214,0,0,693,710,786,879,936,964,799,307,313,287,325,253,93,0,885,1173,1130,747,499,660,452,0,yewon,lean_right,1
18,1786864971.944927,45,644,553,787,714,325,147,191,0,0,696,725,791,885,939,967,807,291,301,283,313,244,75,0,884,1175,1131,749,503,661,431,0,yewon,lean_right,1
19,1786864971.945577,93,651,559,795,723,327,143,159,0,0,703,733,792,889,938,970,819,274,296,279,295,245,62,0,885,1178,1129,749,507,659,411,0,yewon,lean_right,1
20,1786864971.946228,107,655,567,796,727,327,139,125,0,0,711,743,795,894,946,979,824,255,299,275,293,232,44,0,886,1177,1135,754,517,661,391,0,yewon,lean_right,1
21,1786864971.946899,120,660,580,797,732,326,137,120,0,0,713,745,796,901,941,984,831,249,295,269,285,217,25,0,889,1179,1128,757,524,659,357,0,yewon,lean_right,1
22,1786864971.947593,121,663,583,799,735,319,133,115,0,0,713,749,797,903,943,986,843,235,288,269,276,215,0,0,887,1177,1143,759,527,653,313,0,yewon,lean_right,1
23,1786864971.948389,121,664,580,795,738,318,125,108,0,0,711,748,796,903,941,999,851,217,277,268,266,214,0,0,888,1180,1143,759,519,647,299,0,yewon,lean_right,1
24,1786864971.948965,116,663,567,793,734,316,121,89,0,0,716,755,799,895,940,1010,853,205,271,265,253,197,0,0,891,1176,1143,761,508,635,283,0,yewon,lean_right,1
25,1786864971.949533,107,664,575,793,734,313,119,83,0,0,713,757,797,893,940,1007,857,189,265,261,251,191,0,0,890,1175,1151,759,504,623,269,0,yewon,lean_right,1
26,1786864971.950108,93,663,581,791,733,313,118,69,0,0,714,759,799,893,938,1012,859,187,267,260,238,185,0,0,892,1175,1143,759,504,615,249,0,yewon,lean_right,1
27,1786864971.950863,75,665,582,791,733,312,115,41,0,0,713,761,797,893,939,1015,860,207,263,260,231,183,0,0,892,1178,1139,755,503,605,219,0,yewon,lean_right,1
28,1786864971.951557,57,663,579,787,731,311,111,0,0,0,719,761,799,893,937,1013,863,212,267,253,227,171,0,0,893,1173,1134,751,505,599,185,0,yewon,lean_right,1
29,1786864971.952240,57,664,573,783,731,311,109,0,0,0,717,759,799,893,936,1012,866,203,265,251,217,159,0,0,893,1171,1131,745,505,587,147,0,yewon,lean_right,1
30,1786864971.952808,56,661,569,776,731,311,109,0,0,0,715,759,799,893,933,1013,867,201,268,251,220,147,0,0,893,1165,1127,741,509,589,87,0,yewon,lean_right,1
31,1786864971.953372,53,661,567,767,727,310,107,0,0,0,715,759,799,893,933,1011,871,204,266,251,223,135,0,0,892,1163,1124,739,520,590,28,0,yewon,lean_right,1
32,1786864971.953952,52,660,567,761,723,311,108,0,0,0,715,750,797,891,926,1011,869,203,266,249,213,135,0,0,891,1151,1122,729,529,597,0,0,yewon,lean_right,1
33,1786864971.954513,52,655,566,756,723,311,108,0,0,0,716,757,799,891,927,1001,878,201,269,245,219,133,0,0,891,1159,1118,728,571,604,0,0,yewon,lean_right,1
34,1786864971.955085,51,659,567,751,723,311,106,0,0,0,715,757,799,889,925,999,883,201,277,249,217,135,0,0,888,1157,1117,739,663,615,0,0,yewon,lean_right,1
35,1786864971.955642,51,655,573,751,723,313,106,0,0,0,715,757,799,891,923,999,885,204,279,248,217,133,0,0,886,1157,1115,743,715,627,0,0,yewon,lean_right,1
36,1786864971.956216,51,657,575,751,727,315,107,0,0,0,711,757,804,890,923,999,886,211,280,249,215,109,0,0,884,1150,1116,747,745,637,0,0,yewon,lean_right,1
