frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
0,1786864720.877681,0,493,393,748,627,557,281,471,213,0,575,601,687,756,681,730,617,543,595,541,613,575,441,309,798,1043,975,529,741,927,983,474,yewon,sitting_straight,2
1,1786864720.878954,0,493,394,763,631,557,279,470,211,0,575,603,679,755,659,729,619,543,601,547,603,579,441,312,791,1047,973,523,747,933,985,471,yewon,sitting_straight,2
2,1786864720.879814,0,495,394,757,629,552,281,467,191,0,573,621,680,759,681,733,617,543,603,547,601,575,439,310,789,1023,982,537,749,935,987,472,yewon,sitting_straight,2
3,1786864720.880626,0,504,395,757,631,549,275,461,175,0,573,605,681,758,681,733,619,541,611,547,611,575,441,309,787,1055,986,543,765,937,987,469,yewon,sitting_straight,2
4,1786864720.881348,0,505,395,757,631,547,274,452,152,0,575,605,682,759,683,733,620,547,601,542,600,579,443,300,786,1052,987,557,783,936,989,472,yewon,sitting_straight,2
5,1786864720.882094,0,499,395,758,631,541,254,438,135,0,573,605,685,759,683,735,621,541,601,544,599,575,443,287,785,1051,989,571,800,943,990,463,yewon,sitting_straight,2
6,1786864720.882835,0,507,395,763,631,535,267,423,114,0,572,597,686,759,684,733,619,541,591,548,589,574,429,287,783,1069,991,611,827,949,995,461,yewon,sitting_straight,2
7,1786864720.883580,0,509,395,773,631,535,269,415,100,0,573,600,694,761,683,735,618,539,600,549,601,583,442,277,783,1069,991,661,845,959,997,456,yewon,sitting_straight,2
8,1786864720.884427,0,525,395,789,633,533,269,415,77,0,573,615,695,764,685,734,619,552,599,544,604,581,430,280,789,1059,995,692,873,969,998,447,yewon,sitting_straight,2
9,1786864720.885160,0,532,397,779,631,537,269,415,69,0,574,615,697,765,691,739,620,547,597,551,607,581,447,279,776,1055,995,727,887,970,1002,439,yewon,sitting_straight,2
10,1786864720.885810,0,539,399,788,631,541,271,423,63,0,581,611,701,773,692,743,629,549,597,551,603,583,444,279,758,1051,991,745,904,979,1000,423,yewon,sitting_straight,2
11,1786864720.886450,0,541,420,795,629,539,284,424,57,0,569,611,696,774,697,744,628,547,600,541,603,584,445,281,744,1039,987,745,910,973,1001,412,yewon,sitting_straight,2
12,1786864720.887098,0,543,431,796,630,549,271,426,58,0,567,603,697,773,691,743,632,551,595,557,606,583,429,277,723,1005,983,783,934,983,999,397,yewon,sitting_straight,2
13,1786864720.887741,0,557,439,795,632,551,271,435,59,0,555,607,699,773,692,743,631,553,599,554,607,587,439,279,697,1035,983,819,941,982,999,372,yewon,sitting_straight,2
14,1786864720.888395,0,556,446,797,632,557,275,443,77,0,541,600,696,773,690,741,633,554,601,555,606,587,447,280,671,1007,981,841,951,984,1000,361,yewon,sitting_straight,2
15,1786864720.889044,0,549,453,795,632,565,275,455,125,0,533,595,691,773,685,742,631,555,605,563,611,588,447,278,645,1005,999,856,971,996,991,355,yewon,sitting_straight,2
16,1786864720.889700,0,558,447,773,628,572,283,469,167,0,519,603,685,767,684,733,627,557,617,569,615,589,465,279,632,1001,985,867,987,999,997,345,yewon,sitting_straight,2
17,1786864720.890357,0,557,445,743,623,581,302,479,184,0,501,595,681,763,681,728,627,565,621,573,619,599,453,291,605,996,998,889,1013,1011,999,359,yewon,sitting_straight,2
18,1786864720.891013,0,555,439,715,615,587,315,492,205,0,487,575,671,761,677,717,623,571,631,595,623,601,467,295,598,1001,1012,886,1021,1023,1001,329,yewon,sitting_straight,2
19,1786864720.891668,0,554,409,687,603,597,316,500,229,0,473,569,667,752,668,703,621,573,649,581,630,605,472,299,584,1007,1021,892,1019,1043,1007,311,yewon,sitting_straight,2
